OBJECTID,landcoversLandCoverId,landcoversDataSource,landcoversMeasuredAt,siteName,landcoversMeasurementLatitude,landcoversMeasurementLongitude,elevation,landcoversMeasurementElevation,landcoversMucCode,landcoversMucDetails,landcoversMucDescription,landcoversDownwardExtraData,landcoversDownwardPhotoUrl,landcoversDryGround,landcoversEastClassifications,landcoversEastExtraData,landcoversEastPhotoUrl,landcoversFieldNotes,landcoversLeavesOnTrees,landcoversMuddy,landcoversNorthClassifications,landcoversNorthExtraData,landcoversNorthPhotoUrl,landcoversRainingSnowing,landcoversSnowIce,landcoversSouthClassifications,landcoversSouthExtraData,landcoversSouthPhotoUrl,landcoversStandingWater,landcoversUpwardExtraData,landcoversUpwardPhotoUrl,landcoversWestClassifications,landcoversWestExtraData,landcoversWestPhotoUrl
11,32888,GLOBE Observer App,6/20/20 3:30,10TET722756,47.63010025,-122.0381012,145.5,138.8999939,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699649/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699645/original.jpg,"Sunny, small hill, drain",FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699644/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699646/original.jpg,FALSE,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699648/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1699647/original.jpg
12,32899,GLOBE Observer App,6/20/20 16:40,14RPU056597,30.36499977,-97.90059662,246.1000061,246.6000061,M93,,"Urban, Roads and Parking","(source: app, (compassData.horizon: -86.97495067982148))",https://data.globe.gov/system/photos/2020/06/20/1700989/original.jpg,TRUE,"80% MUC 93 [Urban, Roads and Parking]; 40% MUC 00 [Trees, Closely Spaced, Not Sure Which]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: 4.055167699204375))",https://data.globe.gov/system/photos/2020/06/20/1700985/original.jpg,Elementary school,TRUE,FALSE,"60% MUC 92 [Urban, Commercial Property]; 50% MUC 93 [Urban, Roads and Parking]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 3.6344023850473945))",https://data.globe.gov/system/photos/2020/06/20/1700984/original.jpg,FALSE,FALSE,"50% MUC 92 [Urban, Commercial Property]; 60% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 4.287832105774669))",https://data.globe.gov/system/photos/2020/06/20/1700986/original.jpg,FALSE,"(source: app, (compassData.horizon: 87.17428377043898))",https://data.globe.gov/system/photos/2020/06/20/1700988/original.jpg,"40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]; 80% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: 2.7809377535149054))",https://data.globe.gov/system/photos/2020/06/20/1700987/original.jpg
13,32900,GLOBE Observer App,6/20/20 16:44,14RPU051597,30.36490059,-97.90540314,228.1000061,231.199997,M91,,"Urban, Residential Property","(source: app, (compassData.horizon: -87.43143222549))",https://data.globe.gov/system/photos/2020/06/20/1700995/original.jpg,TRUE,"80% MUC 91 [Urban, Residential Property]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 4.637523798722938))",https://data.globe.gov/system/photos/2020/06/20/1700991/original.jpg,(none),TRUE,FALSE,"30% MUC 91 [Urban, Residential Property]; 70% MUC 93 [Urban, Roads and Parking]; 30% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 3.648700308557636))",https://data.globe.gov/system/photos/2020/06/20/1700990/original.jpg,FALSE,FALSE,"90% MUC 93 [Urban, Roads and Parking]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 1.4631494379420644))",https://data.globe.gov/system/photos/2020/06/20/1700992/original.jpg,FALSE,"(source: app, (compassData.horizon: 86.83130652474594))",https://data.globe.gov/system/photos/2020/06/20/1700994/original.jpg,"90% MUC 91 [Urban, Residential Property]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 2.1338431855343174))",https://data.globe.gov/system/photos/2020/06/20/1700993/original.jpg
14,32901,GLOBE Observer App,6/20/20 16:48,14RPU052592,30.36070061,-97.90519714,237.6000061,231.8999939,M1,,"Trees, Loosely Spaced, Not Sure Which","(source: app, (compassData.horizon: -89.16175640546831))",https://data.globe.gov/system/photos/2020/06/20/1701001/original.jpg,TRUE,"80% MUC 91 [Urban, Residential Property]; 40% MUC 93 [Urban, Roads and Parking]; 30% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 7.914814521652104))",https://data.globe.gov/system/photos/2020/06/20/1700997/original.jpg,(none),TRUE,FALSE,"70% MUC 00 [Trees, Closely Spaced, Not Sure Which]; 60% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: 8.777233071760435))",https://data.globe.gov/system/photos/2020/06/20/1700996/original.jpg,FALSE,FALSE,"50% MUC 93 [Urban, Roads and Parking]; 50% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 6.090352954431225))",https://data.globe.gov/system/photos/2020/06/20/1700998/original.jpg,FALSE,"(source: app, (compassData.horizon: 85.82827588433602))",https://data.globe.gov/system/photos/2020/06/20/1701000/original.jpg,"70% MUC 1 [Trees, Loosely Spaced, Not Sure Which]; 50% MUC 43 [Herbaceous/Grassland, Short Grass]; 30% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: 5.432727814218211))",https://data.globe.gov/system/photos/2020/06/20/1700999/original.jpg
15,32902,GLOBE Observer App,6/20/20 16:52,14RPU056592,30.36050034,-97.90070343,237.1000061,237.3999939,M91,,"Urban, Residential Property","(source: app, (compassData.horizon: -88.06215129384844))",https://data.globe.gov/system/photos/2020/06/20/1701007/original.jpg,TRUE,"30% MUC 91 [Urban, Residential Property]; 70% MUC 93 [Urban, Roads and Parking]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 4.295192796667948))",https://data.globe.gov/system/photos/2020/06/20/1701003/original.jpg,(none),TRUE,FALSE,"90% MUC 91 [Urban, Residential Property]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: 1.3935393082025485))",https://data.globe.gov/system/photos/2020/06/20/1701002/original.jpg,FALSE,FALSE,"60% MUC 91 [Urban, Residential Property]; 40% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: 3.6198173397147855))",https://data.globe.gov/system/photos/2020/06/20/1701004/original.jpg,FALSE,"(source: app, (compassData.horizon: 87.74043838560763))",https://data.globe.gov/system/photos/2020/06/20/1701006/original.jpg,"60% MUC 93 [Urban, Roads and Parking]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 3.0318670654026647))",https://data.globe.gov/system/photos/2020/06/20/1701005/original.jpg
16,35292,GLOBE Observer App,7/13/20 0:54,14RPU056592,30.36070061,-97.90049744,237.1000061,239.1000061,null,,null,"(source: app, (compassData.horizon: -71.90504014276488))",https://data.globe.gov/system/photos/2020/07/13/1782062/original.jpg,FALSE,null,"(source: app, (compassData.horizon: -33.73754122954048))",https://data.globe.gov/system/photos/2020/07/13/1782058/original.jpg,(none),TRUE,FALSE,null,null,null,FALSE,FALSE,null,"(source: app, (compassData.horizon: -58.63370870718102))",https://data.globe.gov/system/photos/2020/07/13/1782059/original.jpg,FALSE,"(source: app, (compassData.horizon: 53.976168987768816))",https://data.globe.gov/system/photos/2020/07/13/1782061/original.jpg,null,"(source: app, (compassData.horizon: -5.395399872631373))",https://data.globe.gov/system/photos/2020/07/13/1782060/original.jpg
17,32903,GLOBE Observer App,6/20/20 16:54,14RPU059592,30.36030006,-97.89730072,238,238.6000061,M93,,"Urban, Roads and Parking","(source: app, (compassData.horizon: -85.74297600683528))",https://data.globe.gov/system/photos/2020/06/20/1701013/original.jpg,TRUE,"50% MUC 91 [Urban, Residential Property]; 30% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 00 [Trees, Closely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 2.761102133841362))",https://data.globe.gov/system/photos/2020/06/20/1701009/original.jpg,(none),TRUE,FALSE,"50% MUC 56 [Barren, Dirt/Other]; 70% MUC 00 [Trees, Closely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 6.043863434138856))",https://data.globe.gov/system/photos/2020/06/20/1701008/original.jpg,FALSE,FALSE,"70% MUC 93 [Urban, Roads and Parking]; 30% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 2.154244376112402))",https://data.globe.gov/system/photos/2020/06/20/1701010/original.jpg,FALSE,"(source: app, (compassData.horizon: 87.95958118531912))",https://data.globe.gov/system/photos/2020/06/20/1701012/original.jpg,"70% MUC 93 [Urban, Roads and Parking]; 40% MUC 00 [Trees, Closely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 8.058372874711935))",https://data.globe.gov/system/photos/2020/06/20/1701011/original.jpg
18,33254,GLOBE Observer App,6/22/20 23:14,14RPU059592,30.36050034,-97.89720154,238,239.6000061,null,,null,"(source: app, (compassData.horizon: -89.8384724794954))",https://data.globe.gov/system/photos/2020/06/22/1706945/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -6.8281230766307885))",https://data.globe.gov/system/photos/2020/06/22/1706942/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -3.3474600795526754))",https://data.globe.gov/system/photos/2020/06/22/1706941/original.jpg,FALSE,FALSE,null,null,null,FALSE,"(source: app, (compassData.horizon: 86.4797008086247))",https://data.globe.gov/system/photos/2020/06/22/1706944/original.jpg,null,"(source: app, (compassData.horizon: -11.297937714077705))",https://data.globe.gov/system/photos/2020/06/22/1706943/original.jpg
19,32904,GLOBE Observer App,6/20/20 16:59,14RPU060596,30.36429977,-97.89640045,238.8999939,238.699997,M91,,"Urban, Residential Property","(source: app, (compassData.horizon: -88.15514517167037))",https://data.globe.gov/system/photos/2020/06/20/1701019/original.jpg,TRUE,"100% MUC 91 [Urban, Residential Property]","(source: app, (compassData.horizon: 5.402752864585992))",https://data.globe.gov/system/photos/2020/06/20/1701015/original.jpg,(none),TRUE,FALSE,"100% MUC 91 [Urban, Residential Property]","(source: app, (compassData.horizon: 4.614827278550038))",https://data.globe.gov/system/photos/2020/06/20/1701014/original.jpg,FALSE,FALSE,"80% MUC 43 [Herbaceous/Grassland, Short Grass]; 40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 7.048145316106911))",https://data.globe.gov/system/photos/2020/06/20/1701016/original.jpg,FALSE,"(source: app, (compassData.horizon: 89.29314748116835))",https://data.globe.gov/system/photos/2020/06/20/1701018/original.jpg,"80% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: 5.872533788284969))",https://data.globe.gov/system/photos/2020/06/20/1701017/original.jpg
20,32922,GLOBE Observer App,6/20/20 19:01,10SEG844293,37.30699921,-122.0473023,108.5999985,107.199997,null,,null,"(source: app, (compassData.horizon: -71.6))",https://data.globe.gov/system/photos/2020/06/20/1701526/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -6.199999999999989))",https://data.globe.gov/system/photos/2020/06/20/1701521/original.jpg,(none),TRUE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1701520/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -4.299999999999997))",https://data.globe.gov/system/photos/2020/06/20/1701522/original.jpg,FALSE,"(source: app, (compassData.horizon: 75.5))",https://data.globe.gov/system/photos/2020/06/20/1701524/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1701523/original.jpg
21,32923,GLOBE Observer App,6/20/20 19:20,10SEG839298,37.31119919,-122.0525971,109.5999985,107.199997,null,,null,"(source: app, (compassData.horizon: -58.099999999999994))",https://data.globe.gov/system/photos/2020/06/20/1701537/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -3.3999999999999915))",https://data.globe.gov/system/photos/2020/06/20/1701532/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -4))",https://data.globe.gov/system/photos/2020/06/20/1701530/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: 0))",https://data.globe.gov/system/photos/2020/06/20/1701534/original.jpg,FALSE,"(source: app, (compassData.horizon: 88.6))",https://data.globe.gov/system/photos/2020/06/20/1701536/original.jpg,null,"(source: app, (compassData.horizon: -0.6999999999999886))",https://data.globe.gov/system/photos/2020/06/20/1701535/original.jpg
22,32924,GLOBE Observer App,6/20/20 19:33,10SEG839302,37.31539917,-122.0529022,106.9000015,106.5999985,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1701543/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -5.599999999999994))",https://data.globe.gov/system/photos/2020/06/20/1701539/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -4.5))",https://data.globe.gov/system/photos/2020/06/20/1701538/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -0.7999999999999972))",https://data.globe.gov/system/photos/2020/06/20/1701540/original.jpg,FALSE,"(source: app, (compassData.horizon: 89.1))",https://data.globe.gov/system/photos/2020/06/20/1701542/original.jpg,null,"(source: app, (compassData.horizon: -4.799999999999997))",https://data.globe.gov/system/photos/2020/06/20/1701541/original.jpg
23,32925,GLOBE Observer App,6/20/20 19:44,10SEG834302,37.31560135,-122.058403,115.9000015,112.8000031,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1701549/original.jpg,TRUE,null,"(source: app, (compassData.horizon: 0.09999999999999432))",https://data.globe.gov/system/photos/2020/06/20/1701545/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -1.5999999999999943))",https://data.globe.gov/system/photos/2020/06/20/1701544/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -3))",https://data.globe.gov/system/photos/2020/06/20/1701546/original.jpg,FALSE,"(source: app, (compassData.horizon: 89.4))",https://data.globe.gov/system/photos/2020/06/20/1701548/original.jpg,null,"(source: app, (compassData.horizon: -3.6999999999999886))",https://data.globe.gov/system/photos/2020/06/20/1701547/original.jpg
24,32926,GLOBE Observer App,6/20/20 19:55,10SEG834298,37.31159973,-122.0587997,118.3000031,117.5,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/20/1701555/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -5.699999999999989))",https://data.globe.gov/system/photos/2020/06/20/1701551/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -3.5999999999999943))",https://data.globe.gov/system/photos/2020/06/20/1701550/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -4.8999999999999915))",https://data.globe.gov/system/photos/2020/06/20/1701552/original.jpg,FALSE,"(source: app, (compassData.horizon: 88.2))",https://data.globe.gov/system/photos/2020/06/20/1701554/original.jpg,null,"(source: app, (compassData.horizon: -4.099999999999994))",https://data.globe.gov/system/photos/2020/06/20/1701553/original.jpg
