ceoPLOTID,LONGITUDE,LATITUDE,seesAOIplot,AOI_NUM,ceoPLOT_NUM,ceoTREES_CANOPYCOVER,ceoBUSH_SCRUB,ceoGRASS,ceoCultivatedVeg,ceoWaterTreatedPool,ceoWaterLakePondedContainer,ceoWaterRiverStream,ceoWaterIrrigation,ceoShadow,ceoUnknown,ceoBareGround,ceoBuilding,ceoImperviousSurface
137373206,-97.16482421,32.85819652,222,2,22,31.40495868,0,18.18181818,0,2.479338843,0,0,0,0,0,0,28.92561983,19.00826446
137373207,-97.16482421,32.86196943,223,2,23,57.85123967,0,17.3553719,0,0,0,0,0,0,0,0,9.090909091,15.70247934
137373208,-97.16482421,32.86574219,224,2,24,45.45454545,0,17.3553719,0,2.479338843,0,0,0,0,0,0,14.04958678,20.66115702
137373209,-97.16033264,32.84687681,225,2,25,28.92561983,0,12.39669421,0,0,0,0,0,0,0,0,27.27272727,31.40495868
137373210,-97.16033264,32.85065021,226,2,26,15.70247934,0,3.305785124,0,0,0,0,0,0,0,0,8.26446281,72.72727273
137373211,-97.16033264,32.85442344,227,2,27,13.2231405,0,4.958677686,0,0,0,0,0,0,0,0,20.66115702,61.15702479
137373212,-97.16033264,32.85819652,228,2,28,45.45454545,0,18.18181818,0,0,0,0,0,0,0,0,11.57024793,24.79338843
137373213,-97.16033264,32.86196943,229,2,29,34.7107438,0,28.92561983,0,1.652892562,0,0,0,0,0,0,11.57024793,23.14049587
137373214,-97.16033264,32.86574219,230,2,30,24.79338843,1.652892562,8.26446281,0,0.826446281,0,0,0,0,0,0,13.2231405,51.23966942
137373215,-97.15584106,32.84687681,231,2,31,26.44628099,0,14.87603306,0,4.132231405,0,0,0,0,0,0,30.5785124,23.96694215
137373216,-97.15584106,32.85065021,232,2,32,51.23966942,0,23.14049587,0,0.826446281,0,0,0,0,0,0,17.3553719,7.438016529
137373217,-97.15584106,32.85442344,233,2,33,33.05785124,0,10.74380165,0,0.826446281,0,0,0,0,0,0,24.79338843,30.5785124
137373218,-97.15584106,32.85819652,234,2,34,30.5785124,0,12.39669421,0,4.132231405,0,0,0,0,0,0,33.05785124,19.83471074
137373219,-97.15584106,32.86196943,235,2,35,33.88429752,0,14.04958678,0,3.305785124,0,0,0,0,0,0,31.40495868,17.3553719
137373220,-97.15584106,32.86574219,236,2,36,46.28099174,0,17.3553719,0,0,0,0,0,0,0,7.438016529,16.52892562,12.39669421
137373221,-88.19761194,41.75153831,301,3,1,10.74380165,1.652892562,0,43.80165289,0,0,0,0,0,0,0,19.00826446,24.79338843
137373222,-88.19761194,41.75488912,302,3,2,25.61983471,0,0,28.92561983,0,0,0,0,0,0,0,16.52892562,28.92561983
137373223,-88.19761194,41.75823975,303,3,3,14.87603306,0,5.785123967,14.04958678,0,0,0,0,0,0,0,40.49586777,24.79338843
137373224,-88.19761194,41.76159021,304,3,4,0,0,0,0,0,0,0,0,0,0,0,0,100
137373225,-88.19761194,41.76494049,305,3,5,0.826446281,1.652892562,25.61983471,0,0,0,0,0,0,0,0,9.917355372,61.98347107
137373226,-88.19761194,41.76829059,306,3,6,0,0,0,0,0,0,0,0,0,0,0,0,100
137373227,-88.19312036,41.75153831,307,3,7,5.785123967,0.826446281,0,46.28099174,0,0,0,0,0,0,0.826446281,2.479338843,43.80165289
137373228,-88.19312036,41.75488912,308,3,8,9.090909091,0,0,61.15702479,0,0,0,0,0,0,0,12.39669421,17.3553719
137373229,-88.19312036,41.75823975,309,3,9,10.74380165,0,0,50.41322314,0,0,0,0,0,0,0,13.2231405,25.61983471
137373230,-88.19312036,41.76159021,310,3,10,1.652892562,14.04958678,0,18.18181818,0,61.98347107,0,0,0,0,0,0,4.132231405
137373231,-88.19312036,41.76494049,311,3,11,0,0,0,0,0,0,0,0,0,0,0,31.40495868,68.595041320000007
137373232,-88.19312036,41.76829059,312,3,12,0,30.5785124,11.57024793,21.48760331,0,0,0,0,0,0,24.79338843,0,11.57024793
137373233,-88.18862879,41.75153831,313,3,13,16.52892562,0,0,37.19008264,0,0,0,0,0,0,0,11.57024793,34.7107438
137373234,-88.18862879,41.75488912,314,3,14,15.70247934,0,0,29.75206612,0,0,0,0,0,0,0,28.92561983,25.61983471
137373235,-88.18862879,41.75823975,315,3,15,2.479338843,0,0,15.70247934,0,0,0,0,0,0,0,57.02479339,24.79338843
137373236,-88.18862879,41.76159021,316,3,16,14.87603306,0,34.7107438,11.57024793,0,0,0,0,0,0,0,0,38.84297521
137373237,-88.18862879,41.76494049,317,3,17,0,16.52892562,0,16.52892562,0,0,0,0,0,0,0,0,66.94214876
137373238,-88.18862879,41.76829059,318,3,18,0.826446281,0,0,10.74380165,0,0,0,0,0,0,0,9.917355372,78.51239669
137373239,-88.18413721,41.75153831,319,3,19,21.48760331,1.652892562,0,29.75206612,0,0,0,0,0,0,0,14.04958678,33.05785124
137373240,-88.18413721,41.75488912,320,3,20,48.76033058,0.826446281,0,14.87603306,0,0,0,0,0,0,0,20.66115702,14.87603306
137373241,-88.18413721,41.75823975,321,3,21,9.917355372,0,0,60.33057851,0,0,0,0,0,0,0,0,29.75206612
137373242,-88.18413721,41.76159021,322,3,22,9.917355372,0.826446281,0,15.70247934,0,2.479338843,0,0,0,0,0,19.83471074,51.23966942
137373243,-88.18413721,41.76494049,323,3,23,0,0,0,41.32231405,0,0,0,0,0,0,0,0,58.67768595
137373244,-88.18413721,41.76829059,324,3,24,2.479338843,0,15.70247934,0,0,0,0,0,0,0,0,64.46280992,17.3553719
137373245,-88.17964564,41.75153831,325,3,25,19.00826446,2.479338843,0,33.05785124,0,0,0,0,0,0,0,15.70247934,29.75206612
137373246,-88.17964564,41.75488912,326,3,26,37.19008264,0,0,31.40495868,0,0,0,0,0,0,0,9.090909091,22.31404959
137373247,-88.17964564,41.75823975,327,3,27,34.7107438,0.826446281,0,29.75206612,0,0,0,0,0,0,0,16.52892562,18.18181818
137373248,-88.17964564,41.76159021,328,3,28,19.00826446,0.826446281,0,26.44628099,0,0,0,0,0,0,0,9.917355372,43.80165289
137373249,-88.17964564,41.76494049,329,3,29,11.57024793,15.70247934,1.652892562,14.87603306,0,48.76033058,0,0,0,0,0.826446281,0,6.611570248
137373250,-88.17964564,41.76829059,330,3,30,44.62809917,0,0,24.79338843,0,0,0,0,0,0.826446281,0,16.52892562,13.2231405
137373251,-88.17515406,41.75153831,331,3,31,29.75206612,1.652892562,0,24.79338843,0,0,0,0,0,0,0,21.48760331,22.31404959
137373252,-88.17515406,41.75488912,332,3,32,8.26446281,11.57024793,0,47.9338843,0,25.61983471,0,0,0,0,0,4.958677686,1.652892562
137373253,-88.17515406,41.75823975,333,3,33,10.74380165,6.611570248,0,26.44628099,0,51.23966942,0,0,0,0,0,0,4.958677686
137373254,-88.17515406,41.76159021,334,3,34,28.92561983,2.479338843,0,38.01652893,1.652892562,0,0,0,0,0,0,17.3553719,11.57024793
137373255,-88.17515406,41.76494049,335,3,35,13.2231405,0,0,44.62809917,0,0,0,0,0,0,0,3.305785124,38.84297521
137373256,-88.17515406,41.76829059,336,3,36,52.89256198,0,0,23.14049587,0,0,0,0,0,0,0,7.438016529,16.52892562
137557887,-84.293832,33.7581789,501,5,1,67.76859504,0,16.52892562,0,0.826446281,0,0,0,4.132231405,1.652892562,0,9.090909091,0
137373294,-84.29383194,33.76191305,502,5,2,42.14876033,0.826446281,31.40495868,3.305785124,0,0,0,0,1.652892562,1.652892562,0,3.305785124,15.70247934
137373295,-84.29383194,33.76564706,503,5,3,56.19834711,0,13.2231405,0,0,0,0,0,5.785123967,0,5.785123967,12.39669421,6.611570248
137373296,-84.29383194,33.7693809,504,5,4,19.83471074,0.826446281,0.826446281,28.09917355,0,0,0,0,4.958677686,0,0,28.09917355,17.3553719
137373297,-84.29383194,33.77311459,505,5,5,0,0.826446281,0,12.39669421,0,0,0,0,5.785123967,0,3.305785124,5.785123967,71.90082645
137373298,-84.29383194,33.77684811,506,5,6,0,0,0,0,0,0,0,0,9.917355372,0,0,12.39669421,77.68595041
137373299,-84.28934036,33.75817888,507,5,7,76.85950413,0,5.785123967,0.826446281,0,0,0,0,4.132231405,0,0.826446281,8.26446281,3.305785124
137373300,-84.28934036,33.76191305,508,5,8,22.31404959,0.826446281,17.3553719,10.74380165,0,0,0,0,4.958677686,2.479338843,0.826446281,15.70247934,24.79338843
137373301,-84.28934036,33.76564706,509,5,9,10.74380165,1.652892562,18.18181818,4.132231405,0,0,0,0,7.438016529,3.305785124,0,14.04958678,40.49586777
137373302,-84.28934036,33.7693809,510,5,10,48.76033058,0,19.83471074,4.958677686,0,0,0,0,4.958677686,1.652892562,0,8.26446281,11.57024793
137373303,-84.28934036,33.77311459,511,5,11,0,2.479338843,0,0,0,0,0,0,9.090909091,0,0,33.05785124,55.37190083
137373304,-84.28934036,33.77684811,512,5,12,24.79338843,0,16.52892562,0,0,0,0,0,16.52892562,0,0,25.61983471,16.52892562
137373305,-84.28484879,33.75817888,513,5,13,34.7107438,0,5.785123967,12.39669421,0,0,0,0,9.090909091,0,0,1.652892562,36.36363636
137373306,-84.28484879,33.76191305,514,5,14,38.01652893,0,4.958677686,28.09917355,0,0,0,0,0,0,0,4.958677686,23.96694215
137373307,-84.28484879,33.76564706,515,5,15,38.84297521,0,0.826446281,16.52892562,0,0,0,0,4.958677686,2.479338843,0,19.83471074,16.52892562
137373308,-84.28484879,33.7693809,516,5,16,71.90082645,0.826446281,3.305785124,5.785123967,0,0,0,0,1.652892562,0,0,8.26446281,8.26446281
137373309,-84.28484879,33.77311459,517,5,17,0,6.611570248,5.785123967,9.917355372,0,0,0,0,1.652892562,0.826446281,0,29.75206612,45.45454545
137373310,-84.28484879,33.77684811,518,5,18,33.05785124,0,15.70247934,0,0.826446281,0,0,0,7.438016529,3.305785124,0,20.66115702,19.00826446
137373311,-84.28035721,33.75817888,519,5,19,72.72727273,0,11.57024793,0,0,0,0,0,9.090909091,1.652892562,0,4.132231405,0.826446281
137373312,-84.28035721,33.76191305,520,5,20,79.33884298,0,0,0,0,0,0,0,4.132231405,0,16.52892562,0,0
137373313,-84.28035721,33.76564706,521,5,21,1.652892562,0,80.16528926,0,0,0,0,0,0,0,0,0,18.18181818
137373314,-84.28035721,33.7693809,522,5,22,47.10743802,0.826446281,28.09917355,3.305785124,0,0,0,0,2.479338843,0,1.652892562,8.26446281,8.26446281
137373315,-84.28035721,33.77311459,523,5,23,23.96694215,6.611570248,0,17.3553719,0,0,0,0,2.479338843,1.652892562,1.652892562,19.83471074,26.44628099
137373316,-84.28035721,33.77684811,524,5,24,19.00826446,0.826446281,0.826446281,0,0,0,0,0,3.305785124,0,0.826446281,12.39669421,62.80991736
137373317,-84.27586564,33.75817888,525,5,25,26.44628099,4.132231405,12.39669421,9.917355372,0,0,0,0,9.090909091,3.305785124,0,14.87603306,19.83471074
137373318,-84.27586564,33.76191305,526,5,26,55.37190083,0,19.83471074,0,0,0,0,0,1.652892562,0.826446281,0,0,22.31404959
137373319,-84.27586564,33.76564706,527,5,27,50.41322314,0,4.132231405,6.611570248,0,0,0,0,0,0,4.958677686,2.479338843,31.40495868
137373320,-84.27586564,33.7693809,528,5,28,20.66115702,6.611570248,3.305785124,15.70247934,0,0,0,0,4.958677686,1.652892562,0,19.83471074,27.27272727
137557915,-84.275866,33.7731146,529,5,29,27.27272727,0.826446281,3.305785124,18.18181818,0,0,0,0,2.479338843,2.479338843,0,24.79338843,20.66115702
137557916,-84.275866,33.7768481,530,5,30,0,7.438016529,0,1.652892562,0,0,0,0,3.305785124,0,0,18.18181818,69.4214876
137557917,-84.271374,33.7581789,531,5,31,38.01652893,0,0,20.66115702,0,0,0,0,0,0,6.611570248,9.917355372,24.79338843
137557918,-84.271374,33.7619131,532,5,32,33.88429752,0,9.090909091,16.52892562,0,0,0,0,4.132231405,0,0.826446281,9.090909091,26.44628099
137557919,-84.271374,33.7656471,533,5,33,58.67768595,0,9.090909091,4.132231405,0,0,0,0,3.305785124,0,0,9.090909091,15.70247934
137557920,-84.271374,33.7693809,534,5,34,14.04958678,1.652892562,57.85123967,0,0,0,0,0,1.652892562,0.826446281,0,17.3553719,6.611570248
137557921,-84.271374,33.7731146,535,5,35,28.09917355,0,9.090909091,9.090909091,0,0,0,0,1.652892562,0,0,22.31404959,29.75206612
137373328,-84.27137406,33.77684811,536,5,36,42.14876033,0,0,11.57024793,0,0,0,0,0,0,0.826446281,18.18181818,27.27272727
137373365,-74.65609734,40.42268846,701,7,1,78.51239669,0,4.132231405,0,0,0,0,0,0,0,0,0,17.3553719
137373366,-74.65609734,40.42610772,702,7,2,29.75206612,0,2.479338843,58.67768595,0,0,0,0,0,0,8.26446281,0,0.826446281
137373367,-74.65609734,40.42952682,703,7,3,32.23140496,2.479338843,0,51.23966942,0,0,0,0,0,0,0.826446281,6.611570248,6.611570248
137373368,-74.65609734,40.43294574,704,7,4,44.62809917,0,0,22.31404959,0,0,0,0,2.479338843,0,0.826446281,4.132231405,25.61983471
137373369,-74.65609734,40.43636448,705,7,5,72.72727273,0,0,20.66115702,0,0,0,0,0,0,0,2.479338843,4.132231405
137373370,-74.65609734,40.43978306,706,7,6,60.33057851,0.826446281,0,28.09917355,0,0,0,0,3.305785124,0,0,6.611570248,0.826446281
137373371,-74.65160576,40.42268846,707,7,7,8.26446281,0,0,50.41322314,0,0,0,0,0,0.826446281,0,4.132231405,36.36363636
137373372,-74.65160576,40.42610772,708,7,8,8.26446281,4.132231405,0,57.85123967,0,0,0,0,0,0,2.479338843,9.090909091,18.18181818
137373373,-74.65160576,40.42952682,709,7,9,11.57024793,0,0,83.47107438,0,0,0,0,0,0,1.652892562,0,3.305785124
137373374,-74.65160576,40.43294574,710,7,10,40.49586777,0,0,32.23140496,0,0,0,0,1.652892562,0,0,4.958677686,20.66115702
137373375,-74.65160576,40.43636448,711,7,11,8.26446281,0.826446281,0,52.0661157,0,0,0,0,0,0,0.826446281,16.52892562,21.48760331
137373376,-74.65160576,40.43978306,712,7,12,19.00826446,3.305785124,0,53.71900826,0,0,0,0,0.826446281,0.826446281,1.652892562,8.26446281,12.39669421
137373377,-74.64711419,40.42268846,713,7,13,28.92561983,12.39669421,0,55.37190083,0,0,0,0,0,0,0,1.652892562,1.652892562
137373378,-74.64711419,40.42610772,714,7,14,27.27272727,0,0,46.28099174,0,0,0,0,0,0,0,1.652892562,24.79338843
137373379,-74.64711419,40.42952682,715,7,15,61.98347107,0,0,23.96694215,0,0,0,0,0,0,11.57024793,0,2.479338843
137373380,-74.64711419,40.43294574,716,7,16,42.14876033,0,0.826446281,25.61983471,0.826446281,0,0,0,1.652892562,0,15.70247934,4.132231405,9.090909091
137373381,-74.64711419,40.43636448,717,7,17,0.826446281,0,0,76.03305785,0,0,0,0,0,0,19.83471074,0,3.305785124
137373382,-74.64711419,40.43978306,718,7,18,90.08264463,0,9.917355372,0,0,0,0,0,0,0,0,0,0
137373383,-74.64262261,40.42268846,719,7,19,91.73553719,0,8.26446281,0,0,0,0,0,0,0,0,0,0
137373384,-74.64262261,40.42610772,720,7,20,100,0,0,0,0,0,0,0,0,0,0,0,0
137373385,-74.64262261,40.42952682,721,7,21,62.80991736,0,0,33.05785124,0,0,0,0,0,0,0,0,4.132231405
137373386,-74.64262261,40.43294574,722,7,22,42.14876033,4.132231405,0,36.36363636,0.826446281,0,0,0,0.826446281,0,0,7.438016529,8.26446281
137373387,-74.64262261,40.43636448,723,7,23,26.44628099,0,0,38.84297521,0,0,0,0,0,0,0,0,34.7107438
137373388,-74.64262261,40.43978306,724,7,24,81.81818182,0,0,15.70247934,0,0,0,0,0,0,0,0,2.479338843
137373389,-74.63813104,40.42268846,725,7,25,59.50413223,0,0,40.49586777,0,0,0,0,0,0,0,0,0
137373390,-74.63813104,40.42610772,726,7,26,0,0,0,2.479338843,0,0,0,0,0,0,97.52066116,0,0
137373391,-74.63813104,40.42952682,727,7,27,75.20661157,0,0,23.96694215,0,0,0,0,0,0,0,0.826446281,0
137373392,-74.63813104,40.43294574,728,7,28,95.04132231,0,0,0,0,0,0,0,0,0,4.958677686,0,0
137373393,-74.63813104,40.43636448,729,7,29,51.23966942,0,0,35.53719008,0,0,0,0,0,0,0.826446281,1.652892562,10.74380165
137373394,-74.63813104,40.43978306,730,7,30,38.01652893,1.652892562,0,28.09917355,1.652892562,0,0,0,0,0,2.479338843,9.090909091,19.00826446
137373395,-74.63363946,40.42268846,731,7,31,29.75206612,0,0,47.9338843,0.826446281,0,0,0,0,0,3.305785124,8.26446281,9.917355372
137373396,-74.63363946,40.42610772,732,7,32,18.18181818,1.652892562,0,55.37190083,0,0,0,0,0.826446281,0,0,4.132231405,19.83471074
137373397,-74.63363946,40.42952682,733,7,33,49.58677686,0,0,50.41322314,0,0,0,0,0,0,0,0,0
137373398,-74.63363946,40.43294574,734,7,34,9.090909091,3.305785124,0,63.63636364,0,0,0,0,0,0,1.652892562,8.26446281,14.04958678
137373399,-74.63363946,40.43636448,735,7,35,14.87603306,2.479338843,0,55.37190083,0,0,0,0,0,0,0,5.785123967,21.48760331
137373400,-74.63363946,40.43978306,736,7,36,43.80165289,7.438016529,0,32.23140496,0,0,0,0,0,0,0,4.132231405,12.39669421
137373401,-118.1742989,34.11979445,801,8,1,42.97520661,2.479338843,0,0,0,0,0,0,1.652892562,0,5.785123967,0,47.10743802
137373402,-118.1742989,34.12351279,802,8,2,47.10743802,0,0,0,0,0,0,0,0,0,19.83471074,0,33.05785124
137373403,-118.1742989,34.12723097,803,8,3,42.14876033,0.826446281,0,0,0.826446281,0,0,0,0,0,1.652892562,0,54.54545455
137373404,-118.1742989,34.13094899,804,8,4,42.97520661,2.479338843,0.826446281,5.785123967,0,0,0,0,0,0,0.826446281,0,47.10743802
137373405,-118.1742989,34.13466684,805,8,5,43.80165289,0,0.826446281,14.04958678,2.479338843,2.479338843,0,0,0.826446281,0,0,0,35.53719008
137373406,-118.1742989,34.13838453,806,8,6,26.44628099,0.826446281,0,11.57024793,2.479338843,0,0,0,0,0,0,0,58.67768595
137373407,-118.1698074,34.11979445,807,8,7,38.84297521,0,37.19008264,1.652892562,0,0,0,0,0,3.305785124,4.132231405,0,14.87603306
137373408,-118.1698074,34.12351279,808,8,8,13.2231405,0,0,4.958677686,0.826446281,0,0,0,0,0,1.652892562,0,79.33884298
137373409,-118.1698074,34.12723097,809,8,9,80.99173554,0,0,2.479338843,0.826446281,0,0,0,0,0,0,0,15.70247934
137373410,-118.1698074,34.13094899,810,8,10,43.80165289,0,0.826446281,12.39669421,2.479338843,0,0,0,0,0,0.826446281,0,39.66942149
137373411,-118.1698074,34.13466684,811,8,11,57.85123967,0,0,7.438016529,1.652892562,0,0,0,0,0,0,0,33.05785124
137373412,-118.1698074,34.13838453,812,8,12,52.89256198,0,0,3.305785124,1.652892562,0,0,0,0,0,23.96694215,0,18.18181818
137373413,-118.1653158,34.11979445,813,8,13,39.66942149,0,0,7.438016529,0,0,0,0,0,0,20.66115702,0,32.23140496
137373414,-118.1653158,34.12351279,814,8,14,43.80165289,0,0,16.52892562,1.652892562,0,0,0,0,0,0,0,38.01652893
137373415,-118.1653158,34.12723097,815,8,15,38.84297521,0,0,4.132231405,0.826446281,0,0,0,0,0,19.00826446,0,37.19008264
137373416,-118.1653158,34.13094899,816,8,16,56.19834711,0,0,7.438016529,0,0,0,0,0,0,18.18181818,0,18.18181818
137373417,-118.1653158,34.13466684,817,8,17,68.595041320000007,0,0,1.652892562,0,0,0,0,0,0,0,0,29.75206612
137373418,-118.1653158,34.13838453,818,8,18,43.80165289,0,0,14.87603306,0.826446281,0,0,0,0,0,0,0,40.49586777
137373419,-118.1608242,34.11979445,819,8,19,28.09917355,0.826446281,0,7.438016529,0.826446281,0,0,0,0,0,4.132231405,0,58.67768595
137373420,-118.1608242,34.12351279,820,8,20,66.94214876,0,0,4.958677686,0,0,0,0,0,0,0,0,28.09917355
137373421,-118.1608242,34.12723097,821,8,21,55.37190083,0.826446281,0,4.132231405,0,0,0,0,1.652892562,0,2.479338843,0,35.53719008
137373422,-118.1608242,34.13094899,822,8,22,33.05785124,4.132231405,0,12.39669421,0.826446281,0,0,0,0,0,0,0,49.58677686
137373423,-118.1608242,34.13466684,823,8,23,45.45454545,0.826446281,0,11.57024793,0,0,0,0,0,0,0,0,42.14876033
137373424,-118.1608242,34.13838453,824,8,24,34.7107438,0,0,17.3553719,0.826446281,0,0,0,0,0,2.479338843,0,44.62809917
137373425,-118.1563326,34.11979445,825,8,25,49.58677686,0.826446281,0.826446281,4.132231405,0,0,0,0,0,0,1.652892562,0,42.97520661
137373426,-118.1563326,34.12351279,826,8,26,32.23140496,2.479338843,0,8.26446281,0.826446281,0,0,0,0,0,6.611570248,0,49.58677686
137373427,-118.1563326,34.12723097,827,8,27,14.04958678,0,0,34.7107438,0,0,0,0,0,0,0,0,51.23966942
137373428,-118.1563326,34.13094899,828,8,28,52.0661157,0,0,5.785123967,4.132231405,0,0,0,0,0,1.652892562,0,36.36363636
137373429,-118.1563326,34.13466684,829,8,29,38.01652893,1.652892562,0,28.09917355,0,0,0,0,0,0,0,0,32.23140496
137373430,-118.1563326,34.13838453,830,8,30,16.52892562,2.479338843,3.305785124,22.31404959,0,0,0,0,0,0,7.438016529,0,47.9338843
137373431,-118.1518411,34.11979445,831,8,31,19.83471074,1.652892562,13.2231405,1.652892562,0,0,0,0,0,0,18.18181818,0,45.45454545
137373432,-118.1518411,34.12351279,832,8,32,12.39669421,0.826446281,0,6.611570248,0,0,0,0,0,0,0,0,80.16528926
137373433,-118.1518411,34.12723097,833,8,33,26.44628099,0.826446281,0,11.57024793,0,0,0,0,0,0,1.652892562,0,59.50413223
137373434,-118.1518411,34.13094899,834,8,34,9.917355372,0,0,12.39669421,0,0,0,0,0,0,0,0,77.68595041
137373435,-118.1518411,34.13466684,835,8,35,5.785123967,0,0,3.305785124,0,0,0,0,0,0,0,0,90.90909091
137373436,-118.1518411,34.13838453,836,8,36,13.2231405,0,4.958677686,3.305785124,0,0,0,0,0,0,1.652892562,0,76.85950413
137373437,-73.74466894,40.79385951,901,9,1,33.88429752,0,0.826446281,33.05785124,0,0,0,0,17.3553719,0,0,3.305785124,11.57024793
137373438,-73.74466894,40.79725983,902,9,2,48.76033058,9.090909091,0,17.3553719,0,0,1.652892562,0,11.57024793,0,4.958677686,0,6.611570248
137373439,-73.74466894,40.80065999,903,9,3,70.24793388,0.826446281,1.652892562,9.917355372,0,0,0,0,10.74380165,0,0,4.132231405,2.479338843
137373440,-73.74466894,40.80405997,904,9,4,0.826446281,0,1.652892562,59.50413223,0,0,0,0,4.958677686,0,1.652892562,0,31.40495868
137373441,-73.74466894,40.80745977,905,9,5,24.79338843,0,0,22.31404959,0,0,0,0,13.2231405,0,0,11.57024793,28.09917355
137373442,-73.74466894,40.81085941,906,9,6,93.38842975,0,0,0,0,0,0,0,6.611570248,0,0,0,0
137373443,-73.74017736,40.79385951,907,9,7,63.63636364,0,0,18.18181818,0,0,0,0,4.958677686,0,0,9.917355372,3.305785124
137373444,-73.74017736,40.79725983,908,9,8,8.26446281,0,0,44.62809917,0,0,0,0,9.917355372,0,0,19.00826446,18.18181818
137373445,-73.74017736,40.80065999,909,9,9,0.826446281,0,0,39.66942149,0,0,0,0,1.652892562,0,0,25.61983471,32.23140496
137373446,-73.74017736,40.80405997,910,9,10,0,0,0,46.28099174,0,0,0,0,9.090909091,0,0,23.14049587,21.48760331
137373447,-73.74017736,40.80745977,911,9,11,23.96694215,0,0.826446281,18.18181818,0,0,0,0,0,0,0,8.26446281,48.76033058
137373448,-73.74017736,40.81085941,912,9,12,0,0,0,46.28099174,0,0,0,0,23.14049587,0,4.958677686,10.74380165,14.87603306
137373449,-73.73568579,40.79385951,913,9,13,52.0661157,0,0,31.40495868,0.826446281,0,0,0,3.305785124,0,0,3.305785124,9.090909091
137373450,-73.73568579,40.79725983,914,9,14,14.87603306,0,0,24.79338843,0,0,0,0,13.2231405,0,0,23.96694215,23.14049587
137373451,-73.73568579,40.80065999,915,9,15,6.611570248,0,0,13.2231405,0,0,0,0,9.090909091,0,3.305785124,15.70247934,52.0661157
137373452,-73.73568579,40.80405997,916,9,16,0,0,0,47.9338843,0,0,0,0,7.438016529,0,0,8.26446281,36.36363636
137373453,-73.73568579,40.80745977,917,9,17,0,0,0,25.61983471,0,0,0,0,19.00826446,0,0,17.3553719,38.01652893
