OBJECTID,AbdomenCloseup,AbdomenCloseupPhotoUrls,LarvaFullBody,LarvaFullBodyPhotoUrls,WaterSource,WaterSourcePhotoUrls
19,Abdomen1,https://data.globe.gov/system/photos/2020/07/22/1783147/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/07/22/1783143/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/22/1783141/original.jpg
19,Abdomen1,https://data.globe.gov/system/photos/2020/07/22/1783147/original.jpg,Larva3, https://data.globe.gov/system/photos/2020/07/22/1783144/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/22/1783141/original.jpg
19,Abdomen1,https://data.globe.gov/system/photos/2020/07/22/1783147/original.jpg,Larva4, https://data.globe.gov/system/photos/2020/07/22/1783145/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/22/1783141/original.jpg
19,Abdomen1,https://data.globe.gov/system/photos/2020/07/22/1783147/original.jpg,Larva5, https://data.globe.gov/system/photos/2020/07/22/1783146/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/22/1783141/original.jpg
20,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/28/1722070/original.jpg
20,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/28/1722071/original.jpg
21,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/28/1722072/original.jpg
21,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/28/1722073/original.jpg
21,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/06/28/1722074/original.jpg
22,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/21/1781177/original.jpg
22,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/21/1781178/original.jpg
23,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/24/1724739/original.jpg
23,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/24/1724740/original.jpg
23,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/06/24/1724741/original.jpg
23,Abdomen1,null,Larva1,null,Water4, https://data.globe.gov/system/photos/2020/06/24/1724742/original.jpg
24,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/24/1724750/original.jpg
24,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/24/1724751/original.jpg
25,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/24/1724752/original.jpg
25,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/24/1724753/original.jpg
26,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/24/1724754/original.jpg
26,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/24/1724755/original.jpg
27,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/28/1728768/original.jpg
27,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/28/1728769/original.jpg
28,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/28/1728767/original.jpg
29,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/28/1728774/original.jpg
30,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/28/1728772/original.jpg
30,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/28/1728773/original.jpg
31,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/29/1728770/original.jpg
31,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/29/1728771/original.jpg
32,Abdomen1,null,Larva1,https://data.globe.gov/system/photos/2020/06/30/1728780/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/30/1728778/original.jpg
32,Abdomen1,null,Larva1,https://data.globe.gov/system/photos/2020/06/30/1728780/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/30/1728779/original.jpg
32,Abdomen1,null,Larva2, https://data.globe.gov/system/photos/2020/06/30/1728781/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/30/1728778/original.jpg
32,Abdomen1,null,Larva2, https://data.globe.gov/system/photos/2020/06/30/1728781/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/30/1728779/original.jpg
33,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/30/1728783/original.jpg
34,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/30/1728782/original.jpg
35,Abdomen1,null,Larva1,https://data.globe.gov/system/photos/2020/06/30/1728777/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/30/1728775/original.jpg
35,Abdomen1,null,Larva1,https://data.globe.gov/system/photos/2020/06/30/1728777/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/30/1728776/original.jpg
36,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/30/1728784/original.jpg
36,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/30/1728785/original.jpg
37,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/05/1744419/original.jpg
38,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/05/1744421/original.jpg
38,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/05/1744422/original.jpg
38,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/05/1744423/original.jpg
39,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/05/1744416/original.jpg
39,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/05/1744417/original.jpg
39,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/05/1744418/original.jpg
40,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/08/1744436/original.jpg
41,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/12/1761611/original.jpg
42,Abdomen1,null,Larva1,https://data.globe.gov/system/photos/2020/07/12/1761620/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/12/1761618/original.jpg
42,Abdomen1,null,Larva2, https://data.globe.gov/system/photos/2020/07/12/1761624/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/12/1761618/original.jpg
43,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/12/1761626/original.jpg
44,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/12/1761616/original.jpg
45,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/15/1768671/original.jpg
46,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/15/1768673/original.jpg
47,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/15/1768675/original.jpg
48,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/24/1724748/original.jpg
48,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/24/1724749/original.jpg
49,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/30/1725867/original.jpg
50,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726067/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726065/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726064/original.jpg
50,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726067/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726066/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726064/original.jpg
50,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726068/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726065/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726064/original.jpg
50,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726068/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726066/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726064/original.jpg
50,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726069/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726065/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726064/original.jpg
50,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726069/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726066/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726064/original.jpg
51,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726061/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726059/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726057/original.jpg
51,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726061/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726059/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/29/1726058/original.jpg
51,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726061/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726060/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726057/original.jpg
51,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726061/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726060/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/29/1726058/original.jpg
51,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726062/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726059/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726057/original.jpg
51,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726062/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726059/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/29/1726058/original.jpg
51,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726062/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726060/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726057/original.jpg
51,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726062/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726060/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/29/1726058/original.jpg
51,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726063/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726059/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726057/original.jpg
51,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726063/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726059/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/29/1726058/original.jpg
51,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726063/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726060/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726057/original.jpg
51,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726063/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726060/original.jpg,Water2, https://data.globe.gov/system/photos/2020/06/29/1726058/original.jpg
52,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726072/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726071/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726070/original.jpg
52,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726073/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726071/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726070/original.jpg
52,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726074/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726071/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726070/original.jpg
53,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726077/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726076/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726075/original.jpg
53,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726078/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726076/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726075/original.jpg
54,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726081/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726080/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726081/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726084/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726081/original.jpg,Larva3, https://data.globe.gov/system/photos/2020/06/29/1726085/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen1,https://data.globe.gov/system/photos/2020/06/29/1726081/original.jpg,Larva4, https://data.globe.gov/system/photos/2020/06/29/1726086/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726082/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726080/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726082/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726084/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726082/original.jpg,Larva3, https://data.globe.gov/system/photos/2020/06/29/1726085/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen2, https://data.globe.gov/system/photos/2020/06/29/1726082/original.jpg,Larva4, https://data.globe.gov/system/photos/2020/06/29/1726086/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726083/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/06/29/1726080/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726083/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/06/29/1726084/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726083/original.jpg,Larva3, https://data.globe.gov/system/photos/2020/06/29/1726085/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
54,Abdomen3, https://data.globe.gov/system/photos/2020/06/29/1726083/original.jpg,Larva4, https://data.globe.gov/system/photos/2020/06/29/1726086/original.jpg,Water1,https://data.globe.gov/system/photos/2020/06/29/1726079/original.jpg
55,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/30/1726609/original.jpg
55,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/30/1726610/original.jpg
56,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/30/1726626/original.jpg
56,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/30/1726627/original.jpg
56,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/06/30/1726628/original.jpg
57,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/30/1726750/original.jpg
58,Abdomen1,https://data.globe.gov/system/photos/2020/07/07/1742005/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/07/1742004/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/07/1742002/original.jpg
58,Abdomen1,https://data.globe.gov/system/photos/2020/07/07/1742005/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/07/1742004/original.jpg,Water2, https://data.globe.gov/system/photos/2020/07/07/1742003/original.jpg
59,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/06/26/1727495/original.jpg
59,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/06/26/1727496/original.jpg
59,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/06/26/1727497/original.jpg
59,Abdomen1,null,Larva1,null,Water4, https://data.globe.gov/system/photos/2020/06/26/1727498/original.jpg
59,Abdomen1,null,Larva1,null,Water5, https://data.globe.gov/system/photos/2020/06/26/1727499/original.jpg
60,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/11/1761847/original.jpg
60,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/11/1761848/original.jpg
60,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/11/1761849/original.jpg
60,Abdomen1,null,Larva1,null,Water4, https://data.globe.gov/system/photos/2020/07/11/1761850/original.jpg
60,Abdomen1,null,Larva1,null,Water5, https://data.globe.gov/system/photos/2020/07/11/1761851/original.jpg
60,Abdomen1,null,Larva1,null,Water6, https://data.globe.gov/system/photos/2020/07/11/1761852/original.jpg
60,Abdomen1,null,Larva1,null,Water7, https://data.globe.gov/system/photos/2020/07/11/1761853/original.jpg
60,Abdomen1,null,Larva1,null,Water8, https://data.globe.gov/system/photos/2020/07/11/1761854/original.jpg
61,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/11/1761770/original.jpg
61,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/11/1761771/original.jpg
61,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/11/1761772/original.jpg
61,Abdomen1,null,Larva1,null,Water4, https://data.globe.gov/system/photos/2020/07/11/1761773/original.jpg
61,Abdomen1,null,Larva1,null,Water5, https://data.globe.gov/system/photos/2020/07/11/1761774/original.jpg
61,Abdomen1,null,Larva1,null,Water6, https://data.globe.gov/system/photos/2020/07/11/1761775/original.jpg
61,Abdomen1,null,Larva1,null,Water7, https://data.globe.gov/system/photos/2020/07/11/1761776/original.jpg
61,Abdomen1,null,Larva1,null,Water8, https://data.globe.gov/system/photos/2020/07/11/1761777/original.jpg
61,Abdomen1,null,Larva1,null,Water9, https://data.globe.gov/system/photos/2020/07/11/1761778/original.jpg
62,Abdomen1,null,Larva1,null,Water1,https://data.globe.gov/system/photos/2020/07/11/1761793/original.jpg
62,Abdomen1,null,Larva1,null,Water2, https://data.globe.gov/system/photos/2020/07/11/1761794/original.jpg
62,Abdomen1,null,Larva1,null,Water3, https://data.globe.gov/system/photos/2020/07/11/1761795/original.jpg
62,Abdomen1,null,Larva1,null,Water4, https://data.globe.gov/system/photos/2020/07/11/1761796/original.jpg
62,Abdomen1,null,Larva1,null,Water5, https://data.globe.gov/system/photos/2020/07/11/1761797/original.jpg
62,Abdomen1,null,Larva1,null,Water6, https://data.globe.gov/system/photos/2020/07/11/1761798/original.jpg
62,Abdomen1,null,Larva1,null,Water7, https://data.globe.gov/system/photos/2020/07/11/1761799/original.jpg
62,Abdomen1,null,Larva1,null,Water8, https://data.globe.gov/system/photos/2020/07/11/1761800/original.jpg
62,Abdomen1,null,Larva1,null,Water9, https://data.globe.gov/system/photos/2020/07/11/1761801/original.jpg
63,Abdomen1,https://data.globe.gov/system/photos/2020/07/11/1760718/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/11/1760716/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/11/1760723/original.jpg
63,Abdomen1,https://data.globe.gov/system/photos/2020/07/11/1760718/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/11/1760716/original.jpg,Water2, https://data.globe.gov/system/photos/2020/07/11/1760724/original.jpg
63,Abdomen1,https://data.globe.gov/system/photos/2020/07/11/1760718/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/07/11/1760717/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/11/1760723/original.jpg
63,Abdomen1,https://data.globe.gov/system/photos/2020/07/11/1760718/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/07/11/1760717/original.jpg,Water2, https://data.globe.gov/system/photos/2020/07/11/1760724/original.jpg
63,Abdomen2, https://data.globe.gov/system/photos/2020/07/11/1760719/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/11/1760716/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/11/1760723/original.jpg
63,Abdomen2, https://data.globe.gov/system/photos/2020/07/11/1760719/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/11/1760716/original.jpg,Water2, https://data.globe.gov/system/photos/2020/07/11/1760724/original.jpg
63,Abdomen2, https://data.globe.gov/system/photos/2020/07/11/1760719/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/07/11/1760717/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/11/1760723/original.jpg
63,Abdomen2, https://data.globe.gov/system/photos/2020/07/11/1760719/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/07/11/1760717/original.jpg,Water2, https://data.globe.gov/system/photos/2020/07/11/1760724/original.jpg
63,Abdomen3, https://data.globe.gov/system/photos/2020/07/11/1760720/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/11/1760716/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/11/1760723/original.jpg
63,Abdomen3, https://data.globe.gov/system/photos/2020/07/11/1760720/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/11/1760716/original.jpg,Water2, https://data.globe.gov/system/photos/2020/07/11/1760724/original.jpg
63,Abdomen3, https://data.globe.gov/system/photos/2020/07/11/1760720/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/07/11/1760717/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/11/1760723/original.jpg
63,Abdomen3, https://data.globe.gov/system/photos/2020/07/11/1760720/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/07/11/1760717/original.jpg,Water2, https://data.globe.gov/system/photos/2020/07/11/1760724/original.jpg
63,Abdomen4, https://data.globe.gov/system/photos/2020/07/11/1760721/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/11/1760716/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/11/1760723/original.jpg
63,Abdomen4, https://data.globe.gov/system/photos/2020/07/11/1760721/original.jpg,Larva1,https://data.globe.gov/system/photos/2020/07/11/1760716/original.jpg,Water2, https://data.globe.gov/system/photos/2020/07/11/1760724/original.jpg
63,Abdomen4, https://data.globe.gov/system/photos/2020/07/11/1760721/original.jpg,Larva2, https://data.globe.gov/system/photos/2020/07/11/1760717/original.jpg,Water1,https://data.globe.gov/system/photos/2020/07/11/1760723/original.jpg
