OBJECTID,LandCoverID,MeasuredTime,SiteName,MeasuredLatitude,MeasuredLogitude,Elevation,MeasuredElevation,MucDescription
59,33107,6/21/20 21:09,10TET736740,47.61589813,-122.0203018,114.9000015,126.0999985,null
60,33113,6/21/20 21:12,10TET740740,47.61589813,-122.0151978,116.5,124.3000031,null
61,33110,6/13/20 23:13,10TET601739,47.61650085,-122.2001038,43.5,46.90000153,"Urban, Commercial Property"
62,33112,6/21/20 21:20,10TET739746,47.6208992,-122.0154038,127.4000015,126.3000031,null
63,33114,6/21/20 21:23,10TET735747,47.62220001,-122.0213013,110.0999985,111.199997,null
64,33115,6/21/20 21:30,10TET739751,47.62519836,-122.0152969,110.0999985,110.0999985,null
65,33117,6/19/20 1:37,14SQB104643,33.09769821,-96.74459839,221.5,220.5,null
66,33118,6/19/20 23:39,14SQB103639,33.09370041,-96.74659729,209.8999939,211.699997,null
67,33119,6/20/20 23:55,14SQB096642,33.09640121,-96.75350189,220,221.199997,null
68,33124,6/21/20 21:48,10TET734749,47.62369919,-122.0223999,112.8000031,112.8000031,null
69,33125,6/21/20 21:52,10TET735755,47.62929916,-122.0212021,116.4000015,118.3000031,null
70,33128,6/21/20 22:03,10TET731755,47.62950134,-122.0268021,119.9000015,117.4000015,null
71,33129,6/21/20 23:55,10SEG858279,37.29439926,-122.0315018,93.69999695,92.19999695,null
72,33130,6/21/20 22:08,10TET726756,47.63000107,-122.0335999,121.4000015,121.4000015,null
73,33132,6/22/20 0:02,10SEG857284,37.29850006,-122.032898,90.5,90.19999695,"Urban, Roads and Parking"
74,33133,6/22/20 0:07,10SEG857289,37.30350113,-122.0326996,87.59999847,86.5,"Urban, Roads and Parking"
75,33141,6/22/20 0:32,10SEG849283,37.29769897,-122.0413971,108.0999985,105.8000031,null
76,33146,6/13/20 23:18,10TET601745,47.6216011,-122.199997,50.90000153,49.40000153,"Urban, Residential Property"
77,33164,6/22/20 17:55,14SPB710370,32.85800171,-97.17230225,190.8999939,191,"Herbaceous/Grassland, Short Grass"
78,33165,6/22/20 18:02,14SPB710368,32.85680008,-97.17179871,188.8999939,191.8000031,"Herbaceous/Grassland, Short Grass"
79,33170,6/22/20 16:53,10TET593918,47.77700043,-122.2076035,80.40000153,80.19999695,null
80,33171,6/22/20 16:58,10TET589918,47.77700043,-122.2133026,80.40000153,80.5,null
81,33172,6/22/20 17:07,10TET589913,47.77320099,-122.2133026,63.09999847,68.09999847,null
82,33173,6/22/20 17:13,10TET593913,47.77320099,-122.2076035,68.40000153,74.80000305,null
83,33174,6/22/20 17:21,10TET593909,47.76940155,-122.2076035,43.59999847,56.09999847,null
84,33175,6/22/20 17:25,10TET597909,47.76940155,-122.2018967,70.90000153,86.59999847,null
85,33176,6/22/20 17:38,10TET597914,47.77320099,-122.2018967,101.3000031,107.8000031,null
86,33438,6/22/20 18:57,18TWK482749,40.42350006,-74.43160248,35.40000153,34.5,null
87,33439,6/22/20 18:59,18TWK481752,40.42660141,-74.43209839,27.700000760000002,28.60000038,null
88,33440,6/22/20 19:03,18TWK480757,40.43059921,-74.4332962,32.5,33.59999847,null
89,33193,6/22/20 19:08,18TWK483747,40.42169952,-74.43029785,40.09999847,40.70000076,null
90,34856,6/22/20 19:13,18TWK476750,40.42509842,-74.43800354,33.09999847,33.09999847,null
91,33442,6/22/20 19:16,18TWK479749,40.42409897,-74.43499756,34.90000153,34.20000076,null
92,33196,6/22/20 19:48,16SGC523394,33.76509857,-84.27510071,301.7999878,297.1000061,null
93,33197,6/21/20 23:50,18TWK297766,40.44010162,-74.64900208,16.299999239999998,20.10000038,null
94,33198,6/22/20 19:53,16SGC524388,33.75939941,-84.27469635,293.1000061,294.5,null
95,33199,6/22/20 19:27,18TWK300756,40.43130112,-74.64620209,21,20,null
96,33200,6/22/20 19:31,18TWK301751,40.42630005,-74.64409637,21.700000760000002,15.19999981,null
97,33201,6/22/20 19:41,18TWK298749,40.42430115,-74.64859772,27.700000760000002,28.200000760000002,null
98,33202,6/22/20 19:50,18TWK301745,40.42139816,-74.64440155,24.299999239999998,20.60000038,null
99,33203,6/22/20 19:58,16SGC514388,33.75999832,-84.28540039,292.7000122,293.2000122,null
100,33210,6/22/20 19:56,18TWK294745,40.4211998,-74.6529007,34.59999847,31.700000760000002,null
101,33213,6/22/20 20:32,18TWK292752,40.42720032,-74.65460205,37.5,37.59999847,null
102,33215,6/22/20 20:48,18TWK289755,40.42979813,-74.65899658,27,28.39999962,null
103,33216,6/22/20 21:01,18TWK290747,40.42290115,-74.65779877,41.40000153,39.5,null
104,33226,6/13/20 23:22,10TET600750,47.62580109,-122.2012024,54.5,55.20000076,"Urban, Roads and Parking"
105,33237,6/22/20 18:22,14RNT519594,29.46369934,-98.46440125,207.8999939,208.3000031,"Urban, Roads and Parking"
106,33241,6/22/20 18:38,14RNT518589,29.45919991,-98.46499634,207.8999939,208.3999939,"Trees, Closely Spaced, Deciduous - Broad Leaved"
107,33243,6/22/20 23:10,10SEG852289,37.30319977,-122.0375977,95.90000153,93.40000153,"Urban, Residential Property"
108,33245,6/22/20 23:15,10SEG847289,37.30319977,-122.0435028,108.4000015,105.699997,"Urban, Roads and Parking"
109,33259,6/22/20 23:24,10SEG843289,37.30350113,-122.0484009,117.3000031,117,"Urban, Residential Property"
110,33250,6/22/20 22:46,14RPU053594,30.36240005,-97.9036026,229.1000061,233,null
111,33251,6/22/20 22:54,14RPU050604,30.37120056,-97.90650177,226.8999939,216.3999939,null
112,33252,6/22/20 22:59,14RPU048607,30.37420082,-97.9088974,204.1000061,204.199997,null
113,33253,6/22/20 23:07,14RPU054602,30.36989975,-97.90299988,228.8000031,227.1000061,null
114,33255,6/22/20 23:25,14RPU058602,30.37000084,-97.89890289,241,242.8000031,null
115,33256,6/22/20 19:03,14RNT513590,29.45960045,-98.47070313,211.199997,209.6000061,"Trees, Closely Spaced, Deciduous - Broad Leaved"
116,33354,6/22/20 19:40,14RNT513590,29.45960045,-98.47070313,211.199997,209.6000061,"Trees, Closely Spaced, Deciduous - Broad Leaved"
117,33257,6/22/20 23:33,14RPU058612,30.37879944,-97.89880371,219.8999939,220.8000031,null
118,33260,6/22/20 23:29,10SEG842283,37.2983017,-122.0497971,145.6000061,125.699997,"Urban, Residential Property"
119,33262,6/22/20 23:45,15RTN681990,29.79990005,-95.3986969,18,17.799999239999998,null
120,33267,6/22/20 23:42,10SEG852285,37.29930115,-122.0375977,98.90000153,97.09999847,"Urban, Roads and Parking"
121,33264,6/22/20 23:49,15RTN681984,29.79439926,-95.3986969,17.700000760000002,17.89999962,null
122,33265,6/22/20 23:58,15RTN681976,29.78790092,-95.39890289,17.10000038,17.200000760000002,null
123,33268,6/22/20 23:45,10SEG852280,37.2947998,-122.0386963,101.9000015,101.699997,"Herbaceous/Grassland, Short Grass"
124,33272,6/23/20 0:05,15RTN682969,29.78129959,-95.39730072,16.200000760000002,16.700000760000002,null
125,33276,6/23/20 0:07,10SEG848279,37.29439926,-122.0426025,112.699997,110.4000015,"Herbaceous/Grassland, Ferns or Flowers"
126,33277,6/23/20 0:13,10SEG848283,37.2981987,-122.0429993,108.9000015,108,"Trees, Loosely Spaced, Not Sure Which"
127,33280,6/23/20 0:25,15RTN688969,29.78170013,-95.39150238,15.80000019,16.299999239999998,null
128,33282,6/23/20 0:29,15RTN695969,29.78179932,-95.38420105,13.399999619999999,13.19999981,null
129,33285,6/23/20 0:38,15RTN701969,29.78129959,-95.37750244,8,7.6999998099999996,null
130,33308,6/23/20 1:32,15RTN702976,29.78809929,-95.3769989,14.899999619999999,15.399999619999999,null
131,33288,6/23/20 0:44,15RTN702976,29.78820038,-95.3769989,14.899999619999999,15.5,null
132,33291,6/23/20 0:49,15RTN702984,29.79500008,-95.37650299,15.69999981,15.399999619999999,null
133,33292,6/23/20 0:53,15RTN702989,29.799999239999998,-95.37680054,16.10000038,15.899999619999999,null
134,33297,6/23/20 1:03,15RTN695990,29.80050087,-95.38439941,16.299999239999998,16.5,null
135,33298,6/23/20 1:07,15RTN688990,29.799999239999998,-95.39150238,17.89999962,17.39999962,null
136,33299,6/23/20 1:11,15RTN688984,29.79439926,-95.39179993,17.200000760000002,17.10000038,null
137,33300,6/19/20 0:31,11SLT919773,34.13130188,-118.1716003,255.1000061,251.6000061,"Urban, Roads and Parking"
138,33344,6/19/20 0:39,11SLT920778,34.13610077,-118.1707001,250,252.5,"Urban, Roads and Parking"
139,33302,6/23/20 1:15,15RTN688976,29.78800011,-95.39129639,16.60000038,16.60000038,null
140,33306,6/23/20 1:28,15RTN695976,29.78800011,-95.38410187,15.69999981,15.399999619999999,null
141,33309,6/22/20 20:20,14RNT509591,29.46039963,-98.47460175,204,204.8000031,"Herbaceous/Grassland, Short Grass"
142,33311,6/13/20 23:50,10TET595756,47.6310997,-122.2078018,99.59999847,98.30000305,"Urban, Residential Property"
143,33312,6/13/20 23:55,10TET595751,47.62670135,-122.2068024,88.40000153,80.59999847,"Urban, Roads and Parking"
144,33323,6/23/20 12:49,32UMA784529,50.1283989,8.69880009,125.8000031,127.199997,null
145,33324,6/23/20 13:00,32UMA779529,50.12829971,8.69190025,123.8000031,124.199997,null
146,33325,6/23/20 13:15,32UMA774529,50.12829971,8.68500042,122,122,null
147,33326,6/23/20 13:29,32UMA769529,50.12829971,8.67780018,119.0999985,119.3000031,null
148,33335,6/22/20 19:55,14RNT513593,29.46290016,-98.47080231,207.3000031,207.3999939,"Trees, Closely Spaced, Deciduous - Broad Leaved"
149,33345,6/22/20 22:38,11SLT929758,34.11780167,-118.1604996,200.8999939,201.1000061,"Urban, Roads and Parking"
150,33348,6/23/20 17:55,14SQB059428,32.90430069,-96.79769897,190.199997,189.5,null
151,33349,6/23/20 17:57,14SQB061429,32.90530014,-96.79570007,187.3999939,187.3999939,null
152,33356,6/23/20 20:16,15RTN695984,29.79490089,-95.38430023,16.39999962,16.10000038,null
153,33361,6/23/20 19:25,18SWJ122113,38.95080185,-74.85910034,2.20000005,2,null
154,33359,6/23/20 19:18,18SWJ123111,38.94960022,-74.85700226,2.70000005,2.79999995,null
155,33360,6/23/20 19:19,18SWJ124111,38.94940186,-74.85669708,2.70000005,2.5999999,null
156,33362,6/23/20 19:27,18SWJ121113,38.95069885,-74.85939789,1.89999998,2.0999999,null
157,33363,6/23/20 19:33,18SWJ122114,38.95159912,-74.85820007,1.79999995,2.20000005,null
158,33364,6/23/20 19:34,18SWJ123114,38.95190048,-74.85769653,2.0999999,2,null
159,33366,6/23/20 19:37,18SWJ123115,38.95289993,-74.85720062,1.89999998,1.79999995,null
160,33365,6/23/20 19:36,18SWJ123115,38.95240021,-74.85720062,1.89999998,2.20000005,null
161,33367,6/23/20 19:38,18SWJ124115,38.95259857,-74.85669708,2.29999995,2.0999999,null
162,33368,6/23/20 19:40,18SWJ124115,38.95299911,-74.85630035,2.29999995,2.20000005,null
163,33369,6/23/20 19:41,18SWJ124116,38.95339966,-74.85590363,1.60000002,2.0999999,null
164,32007,6/12/20 20:55,16SGC528400,33.77030182,-84.26950073,302.1000061,304.2999878,null
165,32775,6/18/20 0:00,10SEG844297,37.31100082,-122.0469971,101.5,98.80000305,null
166,32604,6/17/20 0:31,14RPU072528,30.30290031,-97.88490295,264,261.7999878,null
167,32739,6/17/20 17:47,16SGC511407,33.77740097,-84.28730011,301.2999878,307.8999939,null
168,32738,6/17/20 17:36,16SGC511407,33.77730179,-84.28730011,301.2999878,307.3999939,null
169,32378,6/15/20 18:32,17TKF784834,41.37200165,-83.64900208,213,212.1000061,null
170,33310,6/22/20 20:05,14RNT514594,29.46349907,-98.46990204,206,206.199997,"Trees, Loosely Spaced, Deciduous - Broad Leaved"
171,33592,6/24/20 17:47,10SEG854283,37.29800034,-122.0358963,97.30000305,95,"Urban, Roads and Parking"
172,32184,6/14/20 17:05,16SDB941794,33.25379944,-87.06330109,144.699997,139.699997,"Trees, Loosely Spaced, Deciduous - Broad Leaved"
173,33904,6/28/20 21:13,14SPB883488,32.9620018,-96.98519897,156.8999939,153.8000031,null
174,33724,6/26/20 0:01,14SPB882508,32.97980118,-96.9858017,140.8999939,139.699997,null
175,33540,6/23/20 23:40,14RPU183752,30.50390053,-97.7661972,256.8999939,258.1000061,null
176,31822,6/5/20 22:41,14RNT336685,29.54610062,-98.65270233,286.7000122,283.3999939,null
177,31826,6/5/20 23:38,11SLT924782,34.13990021,-118.1662979,213.6000061,213.699997,null
178,32667,6/17/20 0:33,11SLT924782,34.13970184,-118.1662979,213.6000061,213.699997,"Barren, Dirt/Other"
179,32690,6/17/20 0:37,11SLT924782,34.13999939,-118.1661987,213.6000061,214.6000061,"Barren, Dirt/Other"
180,32676,6/17/20 0:34,11SLT924782,34.13940048,-118.1661987,213.6000061,213.8999939,"Trees, Loosely Spaced, Deciduous - Broad Leaved"
181,31828,6/5/20 23:45,11SLT924783,34.14009857,-118.1664963,214.1000061,215.6000061,null
182,31839,6/6/20 21:26,11SLT924783,34.14039993,-118.1664963,214.1000061,216.1000061,"Herbaceous/Grassland, Medium Grass"
183,32137,6/14/20 0:07,11SLT924783,34.14030075,-118.1661987,214.1000061,219.1000061,"Trees, Closely Spaced, Deciduous - Broad Leaved"
184,32677,6/17/20 0:36,11SLT924783,34.14009857,-118.1661987,214.1000061,215.5,"Trees, Loosely Spaced, Deciduous - Broad Leaved"
185,35143,7/15/20 0:08,11SLT924783,34.14020157,-118.1664963,214.1000061,215.8000031,null
186,35657,7/23/20 0:37,11SLT924783,34.14020157,-118.1664963,214.1000061,215.8000031,null
187,35659,7/23/20 0:42,11SLT924783,34.14020157,-118.1664963,214.1000061,215.8000031,null
188,35656,7/23/20 0:35,11SLT924783,34.14020157,-118.1664963,214.1000061,215.8000031,null
189,35661,7/30/20 0:44,11SLT924783,34.14020157,-118.1664963,214.1000061,215.8000031,null
190,31843,6/7/20 2:16,11SLT926779,34.13729858,-118.1645966,226.3999939,229.8999939,"Herbaceous/Grassland, Ferns or Flowers"
191,31847,6/7/20 19:09,14RPU075613,30.37890053,-97.88069916,269.2999878,278.2000122,"Urban, Residential Property"
192,32135,6/14/20 2:11,11SLT926780,34.13779831,-118.1644974,228.8999939,231.5,"Urban, Residential Property"
193,32691,6/17/20 1:53,11SLT926780,34.13790131,-118.164299,228.8999939,233.199997,"Barren, Dirt/Other"
194,32692,6/17/20 1:55,11SLT926780,34.13800049,-118.1643982,228.8999939,233,"Urban, Residential Property"
195,31851,6/7/20 22:16,14SQB109642,33.09619904,-96.73970032,213.3000031,212.8000031,null
196,35252,7/20/20 22:50,14SQB109641,33.09519958,-96.7390976,212.6000061,211,null
197,34992,6/14/20 20:39,18TVN955019,42.46979904,-75.05390167,371.5,368.5,null
198,34993,6/14/20 20:40,18TVN955019,42.46989822,-75.0542984,371.5,370.7000122,null
199,34994,6/14/20 20:41,18TVN955019,42.46979904,-75.0542984,371.5,369.7999878,null
200,34989,6/14/20 20:26,18TVN955019,42.46960068,-75.05410004,371.5,368.5,null
201,34990,6/14/20 20:36,18TVN955019,42.46989822,-75.05470276,371.5,372.5,null
202,31855,6/8/20 1:11,15RTN649971,29.7826004,-95.43119812,18.10000038,18.200000760000002,null
203,34973,7/14/20 1:49,15RTN649971,29.78240013,-95.43160248,18.10000038,18.39999962,null
204,31859,6/8/20 0:31,14SPB710369,32.85699844,-97.17250061,191.699997,191.6000061,null
205,33168,6/22/20 18:19,14SPB710369,32.85699844,-97.17230225,191.699997,191.699997,"Open Water, Freshwater"
206,33166,6/22/20 18:07,14SPB710369,32.85699844,-97.17199707,191.699997,192.6000061,"Open Water, Freshwater"
207,33167,6/22/20 18:13,14SPB710369,32.85699844,-97.17240143,191.699997,191.6000061,"Open Water, Freshwater"
208,33169,6/22/20 18:20,14SPB710369,32.85689926,-97.17230225,191.699997,191.8999939,"Herbaceous/Grassland, Short Grass"
209,31863,6/8/20 15:03,14RPU126672,30.4321003,-97.82679749,284.2000122,284.6000061,"Urban, Residential Property"
210,31864,6/8/20 15:15,14RPU126672,30.43169975,-97.8266983,284.2000122,284.1000061,"Urban, Residential Property"
211,31879,6/9/20 15:05,14RPU126672,30.43219948,-97.8266983,284.2000122,284.6000061,null
212,32038,6/13/20 16:13,14RPU126672,30.43219948,-97.8266983,284.2000122,284.6000061,null
213,32037,6/13/20 16:08,14RPU126672,30.43180084,-97.82659912,284.2000122,283.7999878,null
214,32322,6/15/20 16:16,14RPU126672,30.4321003,-97.82679749,284.2000122,284.6000061,null
215,32320,6/15/20 16:11,14RPU126672,30.43169975,-97.82649994,284.2000122,283.6000061,null
216,32321,6/15/20 16:14,14RPU126672,30.43180084,-97.8266983,284.2000122,284.2999878,null
217,32323,6/15/20 16:18,14RPU126672,30.4321003,-97.82689667,284.2000122,284.7999878,"Herbaceous/Grassland, Short Grass"
218,32721,6/17/20 14:24,14RPU126672,30.43230057,-97.82679749,284.2000122,285,null
219,32727,6/17/20 14:36,14RPU126672,30.43169975,-97.8266983,284.2000122,284.1000061,"Herbaceous/Grassland, Short Grass"
220,32725,6/17/20 14:35,14RPU126672,30.43190002,-97.82649994,284.2000122,283.6000061,null
221,32722,6/17/20 14:26,14RPU126672,30.43230057,-97.82679749,284.2000122,285,null
222,32997,6/21/20 16:05,14RPU126672,30.43230057,-97.82679749,284.2000122,285,null
223,32996,6/21/20 16:04,14RPU126672,30.43219948,-97.82679749,284.2000122,284.7000122,null
224,32998,6/21/20 16:07,14RPU126672,30.43219948,-97.8266983,284.2000122,284.6000061,"Herbaceous/Grassland, Short Grass"
225,32999,6/21/20 16:16,14RPU126672,30.43180084,-97.8266983,284.2000122,284.2999878,null
226,33560,6/24/20 14:48,14RPU126672,30.43219948,-97.8266983,284.2000122,284.6000061,null
227,33561,6/24/20 14:53,14RPU126672,30.43190002,-97.82659912,284.2000122,284.2000122,null
228,33562,6/24/20 14:55,14RPU126672,30.43180084,-97.82659912,284.2000122,283.7999878,null
229,33558,6/24/20 14:45,14RPU126672,30.43219948,-97.82679749,284.2000122,284.7000122,"Herbaceous/Grassland, Short Grass"
230,33784,6/27/20 16:47,14RPU126672,30.43169975,-97.82659912,284.2000122,283.8999939,null
231,33785,6/27/20 16:49,14RPU126672,30.4321003,-97.82679749,284.2000122,284.6000061,"Herbaceous/Grassland, Short Grass"
232,33783,6/27/20 16:43,14RPU126672,30.43190002,-97.8266983,284.2000122,284.5,"Herbaceous/Grassland, Short Grass"
233,34174,7/1/20 0:29,14RPU126672,30.43219948,-97.82689667,284.2000122,284.8999939,"Herbaceous/Grassland, Short Grass"
234,34176,7/1/20 0:33,14RPU126672,30.4321003,-97.82679749,284.2000122,284.6000061,null
235,34177,7/1/20 0:37,14RPU126672,30.43190002,-97.82659912,284.2000122,284.2000122,"Herbaceous/Grassland, Short Grass"
236,34175,7/1/20 0:31,14RPU126672,30.43230057,-97.82679749,284.2000122,285,null
237,34424,7/4/20 23:55,14RPU126672,30.43199921,-97.82679749,284.2000122,284.7999878,"Herbaceous/Grassland, Short Grass"
238,34425,7/4/20 23:57,14RPU126672,30.43199921,-97.82679749,284.2000122,284.7999878,null
239,34427,7/5/20 0:04,14RPU126672,30.43199921,-97.82679749,284.2000122,284.7999878,null
240,34426,7/5/20 0:01,14RPU126672,30.43199921,-97.82679749,284.2000122,284.7999878,"Herbaceous/Grassland, Short Grass"
241,34640,7/7/20 22:54,14RPU126672,30.43199921,-97.82679749,284.2000122,284.7999878,"Herbaceous/Grassland, Short Grass"
242,34642,7/7/20 23:05,14RPU126672,30.43199921,-97.82679749,284.2000122,284.7999878,"Herbaceous/Grassland, Short Grass"
243,34868,7/12/20 0:24,14RPU126672,30.43199921,-97.82700348,284.2000122,285,"Urban, Roads and Parking"
244,34869,7/12/20 0:31,14RPU126672,30.43199921,-97.82700348,284.2000122,285,"Herbaceous/Grassland, Short Grass"
245,34867,7/12/20 0:18,14RPU126672,30.43199921,-97.82700348,284.2000122,285,"Trees, Loosely Spaced, Deciduous - Broad Leaved"
246,35239,7/20/20 23:39,14RPU126672,30.43169975,-97.8266983,284.2000122,284.1000061,"Herbaceous/Grassland, Short Grass"
247,31866,6/8/20 17:09,18STG650518,37.48339844,-77.65779877,101.5999985,102.9000015,null
248,31868,6/8/20 20:05,17TKF769828,41.36629868,-83.66699982,211.6000061,212,null
249,32871,6/20/20 0:31,14RPU069527,30.30139923,-97.88809967,252.199997,250.5,null
250,35333,7/21/20 22:23,14RPU069527,30.30170059,-97.88790131,252.199997,247.8999939,"Barren, Dirt/Other"
251,35606,7/26/20 23:21,14RPU069527,30.3015995,-97.88790131,252.199997,248.199997,"Barren, Dirt/Other"
252,31877,6/8/20 12:22,14SQB125723,33.16939926,-96.72019958,220.3999939,223.5,null
253,35030,7/14/20 21:26,19QFV954938,18.02440071,-67.15329742,16.700000760000002,23.299999239999998,null
254,35401,7/23/20 18:02,19QFV954938,18.02449989,-67.15399933,16.700000760000002,18.700000760000002,null
255,31891,6/9/20 16:51,15RTP566430,30.19449997,-95.5279007,46.70000076,48.70000076,"Herbaceous/Grassland, Short Grass"
256,31889,6/9/20 18:42,17TLH219158,42.57460022,-83.16919708,225.3999939,224.699997,"Herbaceous/Grassland, Short Grass"
257,32778,6/16/20 17:39,15RTP567430,30.19420052,-95.52649689,49.29999924,48.5,"Urban, Other"
258,31897,6/9/20 20:51,14RPU072530,30.30480003,-97.884597780000007,262.8999939,262.7999878,null
259,32605,6/17/20 0:38,14RPU072530,30.30439949,-97.88500214,262.8999939,262.2000122,null
260,32214,6/14/20 21:58,14SQB110644,33.09809875,-96.73860168,216.5,218.1000061,null
261,31908,6/10/20 0:58,16TDM128727,42.20190048,-88.05619812,248.5,249.699997,null
262,31910,6/10/20 1:34,14RPU138685,30.44389915,-97.81400299,286.5,296.2999878,null
263,34273,7/1/20 22:51,15RTN511715,29.54899979,-95.56839752,21.5,20.5,null
