OBJECTID,FieldNotes,DryFround,LeavesOnTrees,Muddy,RainingSnowing,SnowIce,StandingWater
42,"Sunny, hill",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
43,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
44,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
45,(none),TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
46,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
47,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
48,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
49,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
50,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
51,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
52,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
53,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
54,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
55,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
56,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
57,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
58,"Sunny, forest",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
59,"Sunny, trees",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60,"Cloudy, trees",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
61,"No mosquito habitats, city downtown (next to Paccard building)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
62,"Cloudy,trees",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
63,"Cloudy, trees",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
64,"Cloudy, parking lot",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
65,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
66,(none),TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
67,(none),TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
68,"Cloudy, trees",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
69,"School, cloudy",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
70,Sunny,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
71,"Complex of buildings nearby 
Near main road",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
72,Sunny,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
73,"Near buildings
Near main road",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
74,Near buidlings,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
75,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
76,"No mosquito habitats, next to townhouses",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
77,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
78,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
79,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
80,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
81,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
82,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
83,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
84,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
85,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
86,Putnam Rd vs Dutch Rd Intersection,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
87,Dutch va Puritan road intersection,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
88,Koch x Dutch,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
89,dutch x dunhams,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
90,mcginnis x hardenburg,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
91,hartlander x hardenberg,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
92,Adopt a pixel observation. No mosquito hábitats. It just rained.,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
93,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
94,Lots of trees at this adopt a pixel observation. No mosquito hábitats once again.,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
95,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
96,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
97,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
98,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
99,Adopt a pixel observation. It is pouring rain at this location.,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
100,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
101,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
102,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
103,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
104,"No mosquito habitats, next to gated residential area",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
105,There are some potholes and dips in the ground that could serve as potential mosquito breeding habitats when it rains and they collect water.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
106,"This is an elementary school surrounded by houses, so there are many places that standing water can be in. Gutters, sewage and drainage openings, potted plants and plant trays, playgrounds, trasbins and dumpsters, and ditches. Many, many potential mosquito breeding habitats.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
107,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
108,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
109,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
110,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
111,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
112,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
113,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
114,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
115,"This is Brackenridge Park, so it is heavily wooded and filled with wildlife. It is protected by the government, and the San Antonio Zoo Train runs through it. There are many trash/recycling bins, grills, logs and downed trees, and dips in the ground that can collect water when it rains, thus allowing for the standing water needed for mosquitoes to breed.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
116,"There are trash bins, grills, and dips/holes in the ground where standing water can collect after it rains, allowing mosquitoes to breed. There is also moss hanging down from the trees, evidence of moisture.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
117,(none),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
118,(none),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
119,(none),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
120,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
121,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
122,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
123,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
124,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
125,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
126,(none),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
127,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
128,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
129,(none),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
130,(none),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
131,(none),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
132,(none),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
133,(none),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
134,(none),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
135,(none),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
136,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
137,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
138,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
139,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
140,(none),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
141,"On one side of the San Antonio Zoo Train track is a golf course. The other side is a parking lot for the San Antonio Zoo. There is a ditch in-between the parking lot and the train track, and there are dumpsters in the parking lot. There are also many dips in the ground where puddles can form when it rains. The ditch, dumpsters, dips, and holes in the ground can allow for standing water to collect when it rains, and allow for mosquito breeding habitats.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
142,"No mosquito habitats, residential grassy area",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
143,"No mosquito habitats, next to church (residential area)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
144,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
145,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
146,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
147,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
148,"This area is filled with mosquito breeding habitats! The river is practically still, and there are pavilions, playgrounds, picnic areas, trash/recycling bins, grills and barbecue pits, and restrooms that can collect standing water when it rains.
This is also a popular picnic spot, and this area is filled with birds as well. There are various duck species, vultures, a lot of nesting egrets, and other smaller birds.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
149,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
150,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
151,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
152,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
153,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
154,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
155,"I was planning to make a square by going forward here, but they unfortunately closed the entrance.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
156,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
157,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
158,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
159,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
160,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
161,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
162,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
163,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
164,Adopt a pixel observation. This is Avondale park. Beyond the north west pavilion is a swimming pool for the neighborhood.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
165,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
166,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
167,This is where one of my mosquito traps are.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
168,This is where one of my mosquito traps is. It is in tall grass,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
169,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
170,"There are many, many mosquito breeding habitats here. The river is practically still, and there are objects like trash/recycling bins, barbecue pits, pavilions, and restrooms that can collect standing water when it rains.
In addition to mosquito breeding habitats, there are a lot of birds here. There are various duck species, vultures, a lot of egrets, and other birds. This is also a popular picnic spot, especially during holidays like the 4th of July.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
171,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
172,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
173,No mosquito habitat,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
174,No mosquito habitat,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
175,"This is in a residential neighborhood, next to a golf course.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
176,No,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
177,Weeded and pruned occasionally- in a park but not typically staffed.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
178,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
179,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
180,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
181,Next to a man-made casting pond,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
182,Doesn't seem to be weeded or maintained like other areas of the park,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
183,Next to road leading to park and casting pond,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
184,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
185,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
186,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
187,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
188,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
189,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
190,Some fruit trees planted two months ago.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
191,This is the backyard of my house.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
192,Shade provided by roof above porch- residential.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
193,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
194,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
195,(none),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
196,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
197,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
198,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
199,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
200,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
201,(none),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
202,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
203,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
204,(none),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
205,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
206,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
207,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
208,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
209,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
210,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
211,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
212,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
213,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
214,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
215,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
216,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
217,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
218,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
219,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
220,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
221,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
222,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
223,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
224,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
225,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
226,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
227,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
228,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
229,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
230,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
231,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
232,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
233,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
234,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
235,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
236,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
237,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
238,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
239,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
240,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
241,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
242,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
243,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
244,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
245,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
246,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
247,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
248,"Wintergarden park in bowling green, OH. This area used to be Great Black Swamp, which used to cover most of NW Ohio, incouding Bowling Green.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
249,No mosquito habitats,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
250,Mosquitoes habitats near the ferns and standing water,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
251,Mosquito habitat near small bodies of standing water below ferns,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
252,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
253,(none),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
254,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
255,Water drainage is being improved soon in this area,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
256,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
257,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
258,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
259,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
260,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
261,There used to be a prairie here less than 10 years ago. It was removed to build these houses instead afterwards.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
262,"This used to be a golf course, but became a nature trail.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
263,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
264,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
265,"This is a man-made lake with some form of water filter in the center that bubbles. It is also know to have swimmer’s itch, although the city may have said that so people wouldn’t swim in the lake that isn’t made for swimming.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
266,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
267,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
268,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
269,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
270,(none),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
271,(none),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
272,"These photos are in my backyard, where I have set up many mosquito larvae traps.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
273,This is where 1/5 of my mosquito habitats are. It is under a bush.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
274,(none),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
275,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
276,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
277,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
278,(none),TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
279,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
280,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
281,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
282,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
283,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
284,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
285,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
286,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
287,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
288,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
289,(none),TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
290,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
291,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
292,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
293,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
294,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
295,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
296,"The urban classification is for the school: Summit High School, which is in some of the photos.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
297,"This is behind a relatively new neighborhood, so the lack of shrubs in some pictures is from clearing the are to build homes.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
298,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
299,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
300,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
301,(none),TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
302,(none),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
303,Adopt a pixel observation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
304,Adopt a pixel observation. This is at a sports field complex that has a baseball field and soccer fields. I am standing in the parking lot.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
305,(none),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
306,(none),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
307,Mosquito traps set up,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
308,(none),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
309,(none),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
310,(none),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
311,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
312,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
313,There is a small creek Southeast that can’t be seen because of foliage,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
314,(none),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
315,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
316,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
317,Creek slightly visible in South picture bottom right hand corner,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
318,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
319,Next to guidepost Montessori,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
320,(none),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
321,Adopt a pixel observation. This is on the street next to an apartment complex.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
322,Adopt a pixel observation. This is an abandoned parking lot next to an abandoned building for sale.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
323,Adopt a pixel observation. This is a neighborhood street by the subway station.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
324,Adopt a pixel ovservation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
325,Adopt a pixel observation. This is downtown where there are lots of storefronts.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
326,Adopt a pixel observation. This is the Agnes Scott College campus.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
327,Adopt a pixel observation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
328,Adopt a pixel observation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
329,Adopt a pixel observation. This is Winona park elementary school.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
330,Adopt a pixel observation. No mosquito hábitats.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
331,Adopt a pixel observation. This is next to the brand new Talley Street Elementsry School. To the north there is construction for the Talley Street Station.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
332,Adopt a pixel observation. No mosquito hábitats observed.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
333,Adopt a pixel observation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
334,Winona park neighborhood by the Colombia Theological Seminary. Adopt a pixel observation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
