OBJECTID,BreedingGroundEliminated,Comments,Genus,LarvaeCount,LastIdentifyStage,Adults,Eggs,Pupae,Species,WaterSource,WaterSourceType
47,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
48,FALSE,null,null,null,identify,null,null,FALSE,null,other,container: artificial
49,TRUE,It look like it was a resent puddle.,null,null,identify,null,null,FALSE,null,"puddle, vehhicle or animal tracks",still: lake/pond/swamp
50,FALSE,null,Culex,16,identify-no-basal-tuft,TRUE,FALSE,TRUE,null,ditch,still: lake/pond/swamp
51,FALSE,null,Culex,8,identify-no-basal-tuft,TRUE,TRUE,TRUE,null,ditch,still: lake/pond/swamp
52,FALSE,null,Culex,9,identify-no-basal-tuft,TRUE,TRUE,FALSE,null,ditch,still: lake/pond/swamp
53,FALSE,null,Aedes,62,identify-aedes-thorax,TRUE,TRUE,TRUE,incerta,ditch,still: lake/pond/swamp
54,FALSE,null,Aedes,42,identify-saddle-comb,TRUE,FALSE,TRUE,albopictus,ditch,still: lake/pond/swamp
55,FALSE,null,null,null,identify,null,null,FALSE,null,jar,container: artificial
56,FALSE,null,null,null,identify,null,null,FALSE,null,jar,container: artificial
57,FALSE,Many mosquitoes around the trap.,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
58,FALSE,Most of the larvae where big in size.,null,null,identify-siphon-pecten,TRUE,FALSE,TRUE,null,"cement, metal or plastic tank",container: artificial
59,FALSE,"This habitat is a fenced off indent in the ground, with a sprinkler head in the center. The fence causes standing water to collect when it rains or the sprinkler goes off.",null,null,identify,null,null,FALSE,null,other,container: artificial
60,FALSE,"This is a mosquito larvae trap that I built and filled with lemon juice mixed with water. I refilled it last week with this lemon solution, and checked it today. It did not contain any mosquito larvae, just some congealed lemon juice and other unknown insects and gelatinous substances.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
61,FALSE,"This is a mosquito larvae trap that I built and filled with sink water. I refilled it last week with sink water, and checked it today. It did not contain any mosquito larvae, just some dead ants, a dead spider, and a couple of small insects.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
62,FALSE,"This is a mosquito larvae trap that I built and filled with salt water. I refilled the trap with salt water last week, and checked it today. There were no mosquito larvae in the trap, but the trap did attract pill bugs, ants, spiders, a beetle, and a cockroach.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
63,FALSE,"This is a mosquito larvae trap that I built and filled with alkaline water. I refilled the trap with alkaline water last week, and checked it today and found these larvae.",null,16,identify-siphon-pecten,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
64,FALSE,This is a mosquito larvae trap that I built and filled with sink water. I left it out for a week before checking it today- there were no larvae in it.,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
65,FALSE,"This is a mosquito larvae trap that I built and filled with sugar water. I left it out for a week before checking it today- there were no larvae in it. Ants were crawling all over the trap, and just five minutes after I cleaned and refilled the trap then placed it back, the ants had found it once more.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
66,FALSE,"This is a mosquito larvae trap that I built and filled with salt water. I left it out for a week before checking it today- there were no larvae in it. There was a live cockroach in the trap, as well as some dead spiders, pill bugs, and ants. When I went to retrieve the trap, I found a large spider web next to it. I know that some spiders eat mosquito larvae, which may have to do with the absence of larvae in my trap.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
67,FALSE,"This is a mosquito larvae trap that I built and filled with lemon juice mixed with water. I left it out for a week before checking it today- there were no larvae in it. The trap was filled with silver fish- most of them were dead and not fully grown, but there were a couple of live adults that crawled out when I poured the trap's contents onto a plate.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
68,FALSE,"These larvae are from a mosquito larvae trap that I built and filled with alkaline water. I checked the trap yesterday after it had been sitting out for a week,  and I observed the larvae more closely today. The trap contained 5 larvae yesterday, and one of them became a pupa today.",null,4,identify-siphon-pecten,FALSE,FALSE,TRUE,null,adult mosquito trap,container: artificial
69,FALSE,This is a mosquito larvae trap that I built and filled with sink water. It was out for a week before I checked it today. This trap has never yielded any mosquito larvae.,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
70,FALSE,null,null,null,identify,null,null,FALSE,null,swamp or wetland,still: lake/pond/swamp
71,FALSE,null,null,null,identify,null,null,FALSE,null,other,still: lake/pond/swamp
72,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
73,FALSE,null,null,null,identify,null,null,FALSE,null,pond,still: lake/pond/swamp
74,TRUE,null,null,null,identify-siphon-pecten,null,null,FALSE,null,ovitrap,container: artificial
75,FALSE,"This is a public garden area with a creek and some man made buckets. I did she mosquitoes b it when I closely observed the water, I didn’t see any larvae.",null,0,identify,TRUE,null,FALSE,null,"puddle or still water next to a creek, stream or river",flowing: still water found next to river or stream
76,FALSE,I found some odd organisms in this site even though I did not find any larvae or pupae. I think this would be a good mosquito breeding habitat because of the semi deep water and the wooden plank that was halfway submerged.,null,0,identify,FALSE,FALSE,FALSE,null,"puddle, vehhicle or animal tracks",still: lake/pond/swamp
77,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
78,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
79,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
80,TRUE,The larvae’s where mostly small and the pupae was a little odd.,null,null,identify-siphon-shape,TRUE,FALSE,TRUE,null,animal trough or water bowl,container: artificial
81,TRUE,null,null,null,identify,null,null,FALSE,null,pond,still: lake/pond/swamp
82,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
83,TRUE,null,null,null,identify,null,null,FALSE,null,pond,still: lake/pond/swamp
84,FALSE,null,null,null,identify,null,null,FALSE,null,pool,container: artificial
85,TRUE,null,null,null,identify,null,null,FALSE,null,animal trough or water bowl,container: artificial
86,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
87,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
88,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,lake,still: lake/pond/swamp
89,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
90,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
91,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
92,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
93,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
94,TRUE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
95,FALSE,null,null,27,identify-later,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
96,TRUE,null,null,null,identify-later,null,null,FALSE,null,ditch,still: lake/pond/swamp
97,FALSE,null,null,null,identify,null,null,FALSE,null,rain gutter or other architectural feature,container: artificial
98,FALSE,"This is a mosquito larvae trap that I built and filled with sugar water. After leaving it in a tree for 6 days, I checked it. There were no mosquito larvae in the trap, just some large dead ants. The sugar water had fermented a bit, so I poured it out and refilled it with new suagr water. I put the trap back in the tree, and will be checking it again sometime next week.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
99,FALSE,"This is a mosquito larvae trap that I built and filled with alkaline water. After leaving it in the woods off of a nature trail for 6 days, I checked it. There were no mosquito larvae in the trap. I refilled the trap with alkaline water, put it back in the woods, and will be checking it again some time next week.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
100,FALSE,"This is a mosquito larvae trap that I built and filled with salt water. After leaving it in the woods off of a nature trail for 6 days, I checked it. It had been knocked over, but there was still some salt water in it. However, there were no mosquito larvae in the trap. I refilled the salt water, put the trap back (making sure it was extra secure), and will be checking it again some time next week.",null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
101,FALSE,null,null,null,identify,null,null,FALSE,null,other,flowing: still water found next to river or stream
102,FALSE,null,null,null,identify,null,null,FALSE,null,jar,container: artificial
103,TRUE,null,null,null,identify,FALSE,FALSE,FALSE,null,jar,container: artificial
104,FALSE,null,null,0,identify,FALSE,FALSE,FALSE,null,animal trough or water bowl,container: artificial
105,FALSE,I will go take a bigger sample in the near future.,null,1,identify-photo-larva,TRUE,null,FALSE,null,rain gutter or other architectural feature,container: artificial
106,FALSE,null,null,0,identify,FALSE,FALSE,FALSE,null,animal trough or water bowl,container: artificial
107,FALSE,"No mosquitoes, but there were a couple of Daphnia pulex.",null,0,identify,FALSE,FALSE,FALSE,null,animal trough or water bowl,container: artificial
108,FALSE,There are also some fly larvae in this water source,Culex,11,identify-no-basal-tuft,TRUE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
109,FALSE,null,Culex,65,identify-no-basal-tuft,FALSE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
110,FALSE,"No mosquitoes, but there are some Daphnia pulex and Mysis relicta.",null,0,identify,FALSE,FALSE,FALSE,null,animal trough or water bowl,container: artificial
111,FALSE,null,null,null,identify,null,null,FALSE,null,can or bottle,container: artificial
112,FALSE,null,null,null,identify-later,null,null,FALSE,null,can or bottle,container: artificial
113,FALSE,null,null,3,identify-later,FALSE,FALSE,FALSE,null,can or bottle,container: artificial
114,TRUE,null,Culex,7,identify-no-basal-tuft,FALSE,FALSE,FALSE,null,animal trough or water bowl,container: artificial
115,TRUE,null,null,null,identify-analyze-siphon,null,null,FALSE,null,ovitrap,container: artificial
116,TRUE,null,null,null,identify-verify-larva,null,TRUE,FALSE,null,"cement, metal or plastic tank",container: artificial
117,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
118,TRUE,null,null,2,identify-verify-larva,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
119,FALSE,null,null,0,identify-verify-larva,FALSE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
120,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,lake,still: lake/pond/swamp
121,TRUE,Lots of ants,null,0,identify,TRUE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
122,TRUE,null,null,1,identify-verify-larva,FALSE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
123,TRUE,null,null,null,identify-verify-larva,FALSE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
124,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
125,TRUE,null,null,null,identify-verify-larva,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
126,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
127,TRUE,null,null,1,identify-verify-larva,FALSE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
128,TRUE,null,null,1,identify-verify-larva,FALSE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
129,TRUE,null,null,null,identify-verify-larva,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
130,FALSE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
131,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
132,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
133,TRUE,null,null,35,identify-siphon-pecten,FALSE,FALSE,TRUE,null,"cement, metal or plastic tank",container: artificial
134,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
135,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
136,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
137,TRUE,null,null,15,identify-verify-larva,FALSE,FALSE,FALSE,null,"cement, metal or plastic tank",container: artificial
138,TRUE,null,Aedes,35,identify-aedes-albopictus,FALSE,FALSE,FALSE,albopictus,"cement, metal or plastic tank",container: artificial
139,TRUE,"Similar phenomenon: multiple adult mosquitos but no larvae, eggs, or pupae.",null,0,identify,TRUE,FALSE,FALSE,null,plant clumps (bamboo etc),container: natural
140,TRUE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
141,TRUE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
142,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
143,TRUE,Google searching for the Asian Tiger mosquito larva shows a larva almost identical with the one I caught.,null,1,identify-saddle-comb,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
144,TRUE,"While removing the excess water with a napkin, I accidentally sucked the larva out of the water and killed it before I could identify it.",null,1,identify-siphon-shape,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
145,TRUE,NA,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
146,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
147,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
148,TRUE,"I used a microscope to analyze the larva, making it difficult to take close up pictures from my phone.",Aedes,32,identify-aedes-albopictus,FALSE,FALSE,FALSE,albopictus,adult mosquito trap,container: artificial
149,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
150,TRUE,null,Aedes,1,identify-aedes-albopictus,FALSE,FALSE,FALSE,albopictus,adult mosquito trap,container: artificial
151,TRUE,Lots of dead ants,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
152,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
153,TRUE,Lots of dead pill bugs and organic matter though.,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
154,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
155,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
156,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
157,TRUE,Lots of adult mosquitoes around ferns,null,0,identify,FALSE,TRUE,FALSE,null,adult mosquito trap,container: artificial
158,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
159,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
160,TRUE,"The container got knocked over, invalidating the data.",null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
161,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
162,FALSE,null,null,null,identify,null,null,FALSE,null,tree holes,container: natural
163,FALSE,"This creek is connected to various parts throughout the neighborhood. As I got closer to it, I saw various mosquitoes so I assumed it was a breeding habitat due to this, the water source,and the shade.",null,null,identify-later,null,null,FALSE,null,ditch,still: lake/pond/swamp
164,FALSE,Trap placed in area sorrounded by trees,null,null,identify-later,null,null,FALSE,null,adult mosquito trap,container: artificial
165,FALSE,Trap placed against tree near creek.,null,null,identify-later,null,null,FALSE,null,adult mosquito trap,container: artificial
166,FALSE,The trap held several insects as well as two snails.,null,null,identify-later,null,null,FALSE,null,adult mosquito trap,container: artificial
167,FALSE,null,null,null,identify,null,null,FALSE,null,fountain or bird bath,container: artificial
168,FALSE,null,null,null,identify,null,null,FALSE,null,pond,still: lake/pond/swamp
169,TRUE,null,null,null,identify,null,null,FALSE,null,"cement, metal or plastic tank",container: artificial
170,TRUE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
171,TRUE,null,null,null,identify-later,null,null,FALSE,null,adult mosquito trap,container: artificial
172,TRUE,null,null,null,identify-later,null,null,FALSE,null,dish or pot,container: artificial
173,TRUE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
174,TRUE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
175,TRUE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
176,FALSE,null,null,null,identify,null,null,FALSE,null,"puddle, vehhicle or animal tracks",still: lake/pond/swamp
177,FALSE,null,null,0,identify,null,null,FALSE,null,tire,container: artificial
178,FALSE,null,null,null,identify,null,null,FALSE,null,"puddle, vehhicle or animal tracks",still: lake/pond/swamp
179,FALSE,null,null,null,identify,null,null,FALSE,null,"puddle, vehhicle or animal tracks",still: lake/pond/swamp
180,FALSE,null,null,null,identify,null,null,FALSE,null,"puddle, vehhicle or animal tracks",still: lake/pond/swamp
181,FALSE,null,null,null,identify,null,null,FALSE,null,ditch,still: lake/pond/swamp
182,TRUE,null,null,null,identify,null,null,FALSE,null,"puddle, vehhicle or animal tracks",still: lake/pond/swamp
183,TRUE,null,null,null,identify,null,null,FALSE,null,lake,still: lake/pond/swamp
184,FALSE,null,null,null,identify,null,null,FALSE,null,lake,still: lake/pond/swamp
185,TRUE,null,null,1,identify-verify-larva,FALSE,FALSE,FALSE,null,pond,still: lake/pond/swamp
186,TRUE,null,null,0,null,FALSE,FALSE,FALSE,null,ditch,still: lake/pond/swamp
187,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
188,FALSE,null,null,null,identify-later,null,null,FALSE,null,ovitrap,container: artificial
189,FALSE,null,null,null,identify-later,null,null,FALSE,null,ovitrap,container: artificial
190,FALSE,null,null,null,identify-later,null,null,FALSE,null,ovitrap,container: artificial
191,FALSE,null,null,null,identify-later,null,null,FALSE,null,ovitrap,container: artificial
192,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
193,FALSE,null,null,null,identify-later,null,null,FALSE,null,ovitrap,container: artificial
194,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
195,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
196,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
197,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
198,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
199,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
200,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
201,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
202,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
203,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
204,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
205,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
206,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
207,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
208,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
209,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
210,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
211,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
212,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
213,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
214,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
215,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
216,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
217,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
218,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
219,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
220,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
221,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
222,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
223,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
224,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
225,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
226,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
227,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
228,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
229,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
230,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
231,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
232,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
233,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
234,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
235,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
236,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
237,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
238,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
239,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
240,FALSE,null,null,20,identify,FALSE,TRUE,TRUE,null,ovitrap,container: artificial
241,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
242,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
243,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
244,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
245,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
246,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
247,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
248,TRUE,null,null,0,identify,TRUE,FALSE,FALSE,null,"puddle or still water next to a creek, stream or river",flowing: still water found next to river or stream
249,TRUE,null,null,13,identify-siphon-shape,TRUE,TRUE,TRUE,null,dish or pot,container: artificial
250,FALSE,2 hours,Anopheles,2,identify-no-siphon,FALSE,TRUE,TRUE,null,ditch,still: lake/pond/swamp
251,TRUE,I did not see any larvae in the smaple of water from the pond,null,null,identify,null,null,FALSE,null,swamp or wetland,still: lake/pond/swamp
252,TRUE,"There were multiple adult mosquitos but few larvae, pupae, and eggs puns.",null,1,identify,TRUE,FALSE,FALSE,null,"puddle or still water next to a creek, stream or river",flowing: still water found next to river or stream
253,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,adult mosquito trap,container: artificial
254,FALSE,null,null,null,identify,null,null,FALSE,null,other,still: lake/pond/swamp
255,TRUE,"There was water covered by the ferns, but no mosquito larvae sampled.",null,0,identify,TRUE,FALSE,FALSE,null,other,still: lake/pond/swamp
256,TRUE,null,null,0,identify,FALSE,FALSE,FALSE,null,ditch,still: lake/pond/swamp
257,TRUE,null,null,0,identify,TRUE,FALSE,FALSE,null,pond,still: lake/pond/swamp
258,TRUE,null,null,null,identify-later,TRUE,null,FALSE,null,discarded: other,container: artificial
259,TRUE,null,null,null,identify-siphon-shape,TRUE,null,FALSE,null,can or bottle,container: artificial
260,FALSE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
261,FALSE,null,null,null,identify,null,null,FALSE,null,adult mosquito trap,container: artificial
262,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
263,FALSE,null,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
264,FALSE,There’s a lot of ants in the mosquito habitat,null,null,identify,null,null,FALSE,null,ovitrap,container: artificial
